Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1781436467056,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,35.0,85.0,60.00000381469727,60.00000381469727,36.84210586547852,95.0,63.15789031982422,65.0,71.42857360839844,66.66667175292969,70.0,65.0,70.0,85.0,55.0,73.68421173095703,129578.59216308594,43331.831298828125,0,404331982848,8589930496,6387965952,0
200,1781436467256,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,45.0,55.0,76.19047546386719,65.0,73.68421173095703,57.89473724365234,60.00000381469727,57.89473724365234,52.6315803527832,61.904762268066406,68.42105102539062,70.0,55.55555725097656,55.0,61.11111068725586,75.0,129582.24841308594,43341.21612548828,0,404331982848,8589930496,6385721344,0
199,1781436467457,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,72.22222137451172,50.0,75.0,57.89473724365234,65.0,71.42857360839844,63.15789031982422,63.15789031982422,70.0,57.89473724365234,55.0,66.66667175292969,42.105262756347656,57.89473724365234,57.142860412597656,68.42105102539062,129585.84637451172,43350.66857910156,0,404331982848,8589930496,6380388352,0
199,1781436467657,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,100.0,63.15789031982422,100.0,63.15789031982422,73.68421173095703,36.84210586547852,66.66667175292969,47.36842346191406,100.0,68.42105102539062,57.89473724365234,61.11111068725586,80.0,61.904762268066406,88.8888931274414,85.71428680419922,129589.33264160156,43360.617736816406,0,404331982848,8589930496,6386946048,0
199,1781436467857,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,55.0,95.0,65.0,75.0,52.6315803527832,75.0,63.15789031982422,76.19047546386719,45.0,57.142860412597656,66.66667175292969,50.0,70.0,52.6315803527832,57.142860412597656,63.15789031982422,129592.97918701172,43370.12512207031,0,404331982848,8589930496,6388367360,0
199,1781436468057,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,73.68421173095703,60.00000381469727,57.89473724365234,73.68421173095703,70.0,36.84210586547852,57.89473724365234,52.6315803527832,52.6315803527832,57.89473724365234,50.0,57.142860412597656,57.142860412597656,63.15789031982422,50.0,90.0,129596.56115722656,43379.45281982422,0,404331982848,8589930496,6389899264,0
199,1781436468257,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,57.89473724365234,55.0,65.0,60.00000381469727,61.904762268066406,72.22222137451172,76.19047546386719,75.0,50.0,100.0,73.68421173095703,50.0,68.42105102539062,60.00000381469727,60.00000381469727,65.0,129600.17199707033,43389.08972167969,0,404331982848,8589930496,6392709120,0
200,1781436468457,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,75.0,44.4444465637207,80.0,75.0,70.0,45.45454788208008,63.15789031982422,68.42105102539062,57.89473724365234,80.0,55.0,60.00000381469727,73.68421173095703,47.619049072265625,73.68421173095703,65.0,129603.81811523438,43398.598876953125,0,404331982848,8589930496,6395777024,0
200,1781436468658,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,57.89473724365234,52.38095474243164,45.0,75.0,42.105262756347656,68.42105102539062,70.0,68.42105102539062,42.105262756347656,57.89473724365234,52.6315803527832,50.0,38.0952377319336,57.89473724365234,65.0,63.15789031982422,129607.42547607422,43407.79510498047,0,404331982848,8589930496,6396817408,0
199,1781436468858,1143,799,1730,1026,799,1200,1927,1599,1806,2100,800,1979,1872,1535,834,899,60.00000381469727,63.15789031982422,61.11111068725586,75.0,63.15789031982422,50.0,90.0,80.0,50.0,71.42857360839844,63.15789031982422,68.42105102539062,70.0,57.89473724365234,66.66667175292969,68.42105102539062,129610.9813232422,43417.35284423828,0,404331982848,8589930496,6386626560,0
