Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,4055,0,360.0,383.41015768187145,76.61050000024261,1107.4234999996406,2732.501849568434,5.6306376676556615,0.0,360,420,470,500,580,650,740,800,1000,1100,1100
GET,/api/v1/auth/customer/cart,4060,0,340.0,362.2953526600966,46.868800000083866,1173.4840999997687,1430.8022167487684,5.637580500784707,0.0,340,400,440,480,560,650,760,840,990,1200,1200
GET,/api/v1/auth/customer/profile,4080,0,320.0,341.24091982842555,26.8354999998337,1208.721300000434,946.9014705882353,5.665351833300888,0.0,320,390,420,450,530,600,700,760,1100,1200,1200
GET,/api/v1/auth/orders,4079,0,330.0,353.1171910272091,24.661299999934272,1327.8799999998228,78.0,5.663963266675079,0.0,330,400,440,470,550,630,700,770,920,1300,1300
POST,/api/v1/cart [Create],10151,1,330.0,354.62669783272844,39.87039999992703,1183.9544000004025,1430.7748990247267,14.095339818587577,0.0013885666258090412,330,400,440,470,550,630,720,800,1100,1200,1200
POST,/api/v1/cart/{code}/checkout,6053,0,360.0,383.89917647447754,66.56509999993432,1256.5284000002066,2692.476127540063,8.404993786022127,0.0,360,430,470,500,580,650,740,810,1000,1300,1300
POST,/api/v1/cart/{code}/shipping,6072,0,320.0,346.60825220685814,31.11540000008972,1225.0567000000956,270.0,8.431376551912498,0.0,320,390,430,460,550,630,710,770,1000,1200,1200
GET,/api/v1/cart/{code}/total,6066,0,320.0,344.14702517309735,29.38819999963016,1463.4788000003027,372.0,8.423045152157643,0.0,320,380,430,460,550,620,720,780,990,1500,1500
GET,/api/v1/category,194659,0,310.0,335.425354362244,20.618499999727646,1630.3300000008676,80.0,270.29699081336213,0.0,310,380,420,450,540,610,710,770,990,1200,1600
GET,/api/v1/config,195251,0,320.0,339.73350829906065,18.115800000032323,1543.0328000002191,287.0,271.1190222558411,0.0,320,380,430,460,540,620,720,780,1000,1200,1500
GET,/api/v1/content/boxes,194888,0,310.0,332.6599649778343,18.38119999956689,1545.067399999425,75.0,270.6149725706724,0.0,310,370,420,450,530,610,710,770,980,1200,1500
POST,/api/v1/customer/login,4083,0,570.0,590.1282534410951,140.5243999997765,1525.18659999987,247.90227773695813,5.669517533178315,0.0,570,660,720,760,860,970,1100,1200,1400,1500,1500
POST,/api/v1/customer/register,4087,0,820.0,838.6221279911899,365.60480000025564,1970.8187999995062,247.903352091999,5.675071799681551,0.0,820,910,960,1000,1100,1200,1300,1400,1800,2000,2000
GET,/api/v1/store/languages,195155,0,300.0,328.21669959570653,16.861799999787763,1572.1776000000318,34.0,270.98571985976344,0.0,300,370,410,440,530,610,700,770,980,1200,1600
GET,/api/v2/product/friendly/t-shirt?lang=en,6093,0,320.0,344.1931605284697,27.753999999731604,1268.3437000005142,1541.76628918431,8.460536451054487,0.0,320,390,430,460,550,630,730,810,1000,1300,1300
GET,/api/v2/product/name/t-shirt?lang=en,194446,0,320.0,342.5167966422559,22.09390000007261,1503.0070000002524,1541.7693549880173,270.0012261220648,0.0,320,390,430,460,540,620,720,790,990,1200,1500
POST,/api/v2/product/{id}/variation,6084,0,320.0,338.82760026299013,26.55109999977867,1056.132300000172,118.0,8.448039351422207,0.0,320,380,430,460,540,610,700,770,1000,1100,1100
,Aggregated,1039362,1,310.0,339.710350882657,16.861799999787763,1970.8187999995062,443.1352974228421,1443.2233853341365,0.0013885666258090412,310,380,430,460,540,630,730,810,1100,1300,2000
