Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1781116371949,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,57.89473724365234,61.11111068725586,94.73684692382812,78.94737243652344,80.0,94.44444274902344,80.0,70.0,80.95238494873047,65.0,36.84210586547852,75.0,61.904762268066406,63.15789031982422,65.0,70.0,3134.2949829101562,184199.49145507812,0,404331982848,8589930496,6335909888,0
199,1781116372149,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,52.6315803527832,55.0,75.0,63.15789031982422,42.105262756347656,76.19047546386719,60.00000381469727,63.15789031982422,21.052631378173828,50.0,50.0,50.0,31.57894515991211,35.0,73.68421173095703,60.00000381469727,3137.7849731445317,184208.24786376956,0,404331982848,8589930496,6341083136,0
199,1781116372349,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,57.89473724365234,75.0,55.0,76.19047546386719,50.0,90.0,70.0,65.0,73.68421173095703,63.15789031982422,57.89473724365234,36.84210586547852,55.0,80.0,65.0,70.0,3141.483154296875,184217.72857666016,0,404331982848,8589930496,6337433600,0
201,1781116372549,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,55.0,45.0,78.94737243652344,63.15789031982422,100.0,36.84210586547852,70.0,50.0,60.00000381469727,80.0,68.42105102539062,60.00000381469727,80.0,84.21052551269531,63.15789031982422,100.0,3145.0650634765625,184227.34326171875,0,404331982848,8589930496,6336483328,0
199,1781116372750,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,76.19047546386719,73.68421173095703,35.0,80.95238494873047,70.0,50.0,68.42105102539062,50.0,65.0,50.0,65.0,75.0,70.0,45.0,76.19047546386719,68.42105102539062,3148.655029296875,184236.95666503903,0,404331982848,8589930496,6366208000,0
200,1781116372951,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,84.21052551269531,55.0,68.42105102539062,57.89473724365234,85.0,70.0,80.0,71.42857360839844,45.0,60.00000381469727,63.15789031982422,63.15789031982422,50.0,63.15789031982422,47.36842346191406,73.68421173095703,3152.153564453125,184246.34338378903,0,404331982848,8589930496,6365093888,0
199,1781116373151,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,50.0,57.89473724365234,52.6315803527832,50.0,63.15789031982422,65.0,68.42105102539062,68.42105102539062,61.904762268066406,68.42105102539062,55.0,75.0,50.0,52.38095474243164,61.11111068725586,47.619049072265625,3155.7035522460938,184255.65966796875,0,404331982848,8589930496,6363664384,0
200,1781116373351,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,42.105262756347656,66.66667175292969,70.0,57.89473724365234,60.00000381469727,50.0,52.6315803527832,50.0,61.11111068725586,50.0,57.142860412597656,55.55555725097656,70.0,71.42857360839844,60.00000381469727,47.36842346191406,3159.1915283203125,184265.0532836914,0,404331982848,8589930496,6350962688,0
199,1781116373551,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,57.142860412597656,36.84210586547852,70.0,75.0,60.00000381469727,52.6315803527832,50.0,55.0,90.0,85.0,73.68421173095703,81.81818389892578,60.00000381469727,55.55555725097656,60.00000381469727,57.89473724365234,3162.7657470703125,184274.7242431641,0,404331982848,8589930496,6350798848,0
199,1781116373751,2099,800,819,1912,1100,800,2099,815,800,800,1100,818,1164,2000,800,800,84.21052551269531,47.36842346191406,85.0,78.94737243652344,44.4444465637207,94.73684692382812,45.0,65.0,47.36842346191406,60.00000381469727,60.00000381469727,68.42105102539062,73.68421173095703,45.0,68.42105102539062,78.94737243652344,3166.1522216796875,184284.1138916016,0,404331982848,8589930496,6341951488,0
