Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,4067,0,360.0,389.1984387263008,77.70520000121905,1504.880199998297,2732.4959429554956,5.647183558154278,0.0,360,420,470,500,580,660,750,810,1000,1500,1500
GET,/api/v1/auth/customer/cart,4071,0,340.0,366.7493958977934,54.02020000110497,1406.834900000831,1430.7941537705724,5.6527377096744695,0.0,340,400,450,480,560,630,720,810,1100,1400,1400
GET,/api/v1/auth/customer/profile,4091,0,320.0,341.5345813737875,29.642299999977695,1018.0118999996921,946.8973356147641,5.680508467275425,0.0,320,380,430,460,530,600,700,740,900,1000,1000
GET,/api/v1/auth/orders,4090,0,330.0,351.3825549144232,27.211000000534113,1203.2382999968831,78.0,5.679119929395378,0.0,330,390,440,460,550,620,710,770,1000,1200,1200
POST,/api/v1/cart [Create],10125,2,330.0,360.5099528000157,39.165300000604475,1522.526700002345,1430.6403950617284,14.058946035483666,0.002777075760095539,330,400,450,480,560,640,730,790,1000,1200,1500
POST,/api/v1/cart/{code}/checkout,6027,0,360.0,387.6228181516371,69.18510000105016,1274.7156000004907,2692.4595984735356,8.368717803047907,0.0,360,430,470,500,580,660,750,830,1000,1300,1300
POST,/api/v1/cart/{code}/shipping,6040,0,330.0,351.84448028145374,29.356499999266816,1158.2673999982944,270.0,8.386768795488528,0.0,330,390,440,470,550,630,720,780,990,1200,1200
GET,/api/v1/cart/{code}/total,6035,0,330.0,352.97022967690134,35.92240000216407,1313.106900001003,372.0,8.37982610608829,0.0,330,390,440,470,550,630,740,800,1000,1300,1300
GET,/api/v1/category,192298,0,320.0,341.87987559153487,21.293399997375673,1795.6641000018863,80.0,267.013057257426,0.0,320,380,430,460,540,620,720,790,1000,1200,1800
GET,/api/v1/config,192893,0,320.0,344.56148780411763,21.582500001386506,1632.1649999990768,287.0,267.8392372960544,0.0,320,390,430,460,550,630,720,790,1000,1300,1600
GET,/api/v1/content/boxes,192548,0,310.0,338.75188203409675,20.717399998829933,1598.3990999993694,75.0,267.36019172743795,0.0,310,380,420,450,540,610,710,780,1000,1200,1600
POST,/api/v1/customer/login,4097,0,580.0,601.9533110080838,144.4654000006267,1770.7287000012002,247.89895045154992,5.688839694555712,0.0,580,670,730,770,880,980,1100,1200,1400,1800,1800
POST,/api/v1/customer/register,4102,0,810.0,840.7302063871421,343.754399997124,1786.9864999993297,247.90029254022429,5.695782383955951,0.0,810,900,960,1000,1100,1200,1300,1400,1700,1800,1800
GET,/api/v1/store/languages,192781,0,310.0,332.43030738817896,17.430699997930788,1491.133900002751,34.0,267.6837210534891,0.0,310,370,420,450,530,610,710,770,980,1200,1500
GET,/api/v2/product/friendly/t-shirt?lang=en,6059,0,320.0,348.9809196896954,29.470500001480104,1113.3004000002984,1541.7601914507345,8.413151015209436,0.0,320,390,440,470,560,630,720,780,1000,1100,1100
GET,/api/v2/product/name/t-shirt?lang=en,192062,0,320.0,348.43456140205285,24.01100000133738,1618.38589999752,1541.7708656579646,266.6853623177347,0.0,320,390,440,470,550,630,720,790,1000,1200,1600
POST,/api/v2/product/{id}/variation,6053,0,320.0,344.835790913603,28.91979999913019,1200.2270999983011,118.0,8.40481978792915,0.0,320,380,430,460,540,630,730,780,990,1200,1200
,Aggregated,1027439,2,320.0,345.2352932871964,17.430699997930788,1795.6641000018863,443.4937723796741,1426.6379709384003,0.002777075760095539,320,390,430,460,550,630,740,810,1100,1400,1800
