Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1781184670642,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,70.0,60.00000381469727,50.0,57.142860412597656,40.0,63.15789031982422,65.0,52.6315803527832,68.42105102539062,66.66667175292969,89.47368621826172,61.904762268066406,65.0,55.0,75.0,60.00000381469727,42204.774963378906,109996.42407226564,0,404331982848,8589930496,6200688640,0
199,1781184670842,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,52.38095474243164,80.95238494873047,55.0,89.47368621826172,80.0,52.38095474243164,75.0,85.0,63.15789031982422,60.00000381469727,30.000001907348636,73.68421173095703,57.89473724365234,65.0,63.15789031982422,60.00000381469727,42208.40789794922,110005.86315917967,0,404331982848,8589930496,6200217600,0
199,1781184671042,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,68.42105102539062,63.15789031982422,65.0,80.0,65.0,80.0,90.0,36.84210586547852,55.55555725097656,47.36842346191406,75.0,66.66667175292969,65.0,50.0,85.71428680419922,65.0,42211.96154785156,110015.31463623048,0,404331982848,8589930496,6195572736,0
199,1781184671242,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,27.77777862548828,50.0,65.0,70.0,55.0,63.15789031982422,57.89473724365234,66.66667175292969,61.904762268066406,95.0,35.0,42.105262756347656,47.36842346191406,85.0,84.21052551269531,80.0,42215.55029296875,110024.55456542967,0,404331982848,8589930496,6197309440,0
200,1781184671442,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,70.0,60.00000381469727,75.0,40.0,63.15789031982422,47.619049072265625,60.00000381469727,100.0,75.0,63.15789031982422,60.00000381469727,52.6315803527832,65.0,89.47368621826172,57.142860412597656,47.36842346191406,42219.11267089844,110034.19903564452,0,404331982848,8589930496,6182461440,0
200,1781184671644,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,55.0,80.95238494873047,75.0,68.42105102539062,85.0,73.68421173095703,90.0,57.89473724365234,90.0,61.904762268066406,47.36842346191406,57.89473724365234,66.66667175292969,95.0,90.0,85.71428680419922,42222.620361328125,110044.01824951172,0,404331982848,8589930496,6184341504,0
199,1781184671844,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,90.0,47.36842346191406,52.6315803527832,65.0,65.0,70.0,80.0,100.0,80.0,72.22222137451172,60.00000381469727,80.95238494873047,71.42857360839844,55.0,70.0,57.89473724365234,42226.18029785156,110053.76220703124,0,404331982848,8589930496,6199394304,0
199,1781184672044,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,52.6315803527832,60.00000381469727,61.904762268066406,80.0,66.66667175292969,80.0,78.94737243652344,80.95238494873047,78.94737243652344,81.81818389892578,55.55555725097656,45.0,71.42857360839844,90.0,73.68421173095703,80.0,42229.72302246094,110063.47271728516,0,404331982848,8589930496,6201499648,0
200,1781184672244,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,77.77777862548828,66.66667175292969,57.89473724365234,76.19047546386719,50.0,42.105262756347656,57.89473724365234,73.68421173095703,76.19047546386719,55.55555725097656,76.19047546386719,84.21052551269531,100.0,66.66667175292969,47.36842346191406,57.89473724365234,42233.28118896485,110073.39794921876,0,404331982848,8589930496,6190149632,0
199,1781184672444,2100,800,1258,886,2100,2099,1502,1094,800,1390,2000,2100,800,800,800,967,45.0,75.0,85.0,55.55555725097656,78.94737243652344,50.0,63.6363639831543,55.0,73.68421173095703,65.0,80.0,70.0,47.619049072265625,60.00000381469727,66.66667175292969,60.00000381469727,42236.83483886719,110082.9913330078,0,404331982848,8589930496,6191476736,0
