Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,4015,0,360.0,381.0066301120794,80.47480000095675,1241.0400999997364,2732.5125778331258,5.575465162153493,0.0,360,420,460,490,570,650,740,810,1000,1200,1200
GET,/api/v1/auth/customer/cart,4026,0,330.0,353.84833338302303,51.565199999458855,1258.239599999797,1430.8089915548933,5.590740409173091,0.0,330,390,430,460,550,630,730,790,1000,1300,1300
GET,/api/v1/auth/customer/profile,4042,0,310.0,332.88092568036944,30.3834000005736,1313.653900000645,946.9037605145967,5.612958950292507,0.0,310,370,410,440,520,600,690,760,1000,1300,1300
GET,/api/v1/auth/orders,4040,0,320.0,343.3465151732561,26.516199999605305,1032.5802999996085,78.0,5.61018163265258,0.0,320,380,430,460,540,610,690,750,930,1000,1000
POST,/api/v1/cart [Create],10146,0,320.0,344.6846875418688,35.998599998492864,1316.360099999656,1430.9053814311058,14.089332387349772,0.0,320,380,430,460,540,620,700,760,960,1200,1300
POST,/api/v1/cart/{code}/checkout,6098,0,350.0,372.43392297473696,71.49810000009893,1202.3246999997355,2692.46261069203,8.468041484137483,0.0,350,410,460,490,570,640,750,800,980,1200,1200
POST,/api/v1/cart/{code}/shipping,6107,0,310.0,337.1017070247152,34.54260000034992,1196.4888999991672,270.0,8.480539413517155,0.0,310,380,420,450,530,620,720,790,1000,1200,1200
GET,/api/v1/cart/{code}/total,6104,0,320.0,339.10980733945456,29.572599998573423,1094.4319999998697,372.0,8.476373437057264,0.0,320,380,420,450,540,620,720,800,960,1100,1100
GET,/api/v1/category,193960,0,300.0,326.96221107393393,19.51819999885629,1636.7659000006824,80.0,269.3442647201224,0.0,300,370,410,440,530,600,700,770,980,1200,1600
GET,/api/v1/config,194505,0,310.0,332.2882640770137,17.884399998365552,1621.246599999722,287.0,270.1010837770025,0.0,310,370,420,450,540,610,710,780,990,1200,1600
GET,/api/v1/content/boxes,194192,0,300.0,324.7942045542568,16.42069999979867,1515.044300000227,75.0,269.66643356635393,0.0,300,360,410,440,520,600,690,760,970,1200,1500
POST,/api/v1/customer/login,4042,0,570.0,590.1679911924791,144.89200000025448,1625.2077000008285,247.90376051459674,5.612958950292507,0.0,570,660,720,760,860,940,1100,1200,1400,1600,1600
POST,/api/v1/customer/register,4042,0,800.0,823.4079946560953,335.65699999962817,1881.9596000012098,247.90376051459674,5.612958950292507,0.0,800,890,950,990,1100,1200,1300,1400,1600,1900,1900
GET,/api/v1/store/languages,194427,0,300.0,319.68329469929796,15.273999999408261,1626.5196000003925,34.0,269.99276838904535,0.0,300,360,410,430,520,600,690,760,970,1200,1600
GET,/api/v2/product/friendly/t-shirt?lang=en,6128,0,310.0,334.497963136403,24.5892000002641,1178.6451000007219,1541.7589751958224,8.50970124873639,0.0,310,370,420,450,540,620,700,760,940,1200,1200
GET,/api/v2/product/name/t-shirt?lang=en,193663,0,310.0,333.8898977780984,21.96679999906337,1549.0790999992896,1541.770673799332,268.93183305059324,0.0,310,370,420,450,530,610,710,780,1000,1200,1500
POST,/api/v2/product/{id}/variation,6119,0,310.0,332.32006050006896,22.84729999882984,1026.1396000005334,118.0,8.497203319356718,0.0,310,370,420,450,540,610,700,760,920,1000,1000
,Aggregated,1035656,0,310.0,331.49976601680413,15.273999999408261,1881.9596000012098,443.200003669172,1438.1728388481288,0.0,310,370,420,450,540,620,720,800,1100,1300,1900
