Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,3234,0,360.0,380.5386508039342,71.360599999025,1178.1633000009606,2732.0958565244277,5.590514600781813,0.0,360,420,470,490,570,650,730,790,1000,1200,1200
GET,/api/v1/auth/customer/cart,3236,0,330.0,346.0397622991413,42.33130000102392,1098.3128999996552,1430.7200247218789,5.593971938197263,0.0,330,390,430,460,540,610,690,770,930,1100,1100
GET,/api/v1/auth/customer/profile,3247,0,310.0,331.74017225131036,21.311599999535247,1256.7905000014434,946.8574068370804,5.612987293982235,0.0,310,370,420,450,530,600,700,750,980,1300,1300
GET,/api/v1/auth/orders,3245,0,320.0,342.66562012327205,22.790999999415362,1120.8251000007294,78.0,5.609529956566786,0.0,320,380,430,460,540,610,710,770,920,1100,1100
POST,/api/v1/cart [Create],8181,0,320.0,342.0569203153562,34.53509999962989,1330.6765999986965,1430.8646864686468,14.14223869789611,0.0,320,390,430,460,540,610,700,760,980,1300,1300
POST,/api/v1/cart/{code}/checkout,4927,0,350.0,373.4145509640705,60.34609999915119,1083.7985999987723,2692.104323117516,8.517150722959801,0.0,350,420,460,490,570,650,740,800,980,1100,1100
POST,/api/v1/cart/{code}/shipping,4932,0,310.0,335.3717035077197,29.690899998968234,1228.7317999998777,270.0,8.525794066498424,0.0,310,380,420,450,530,610,710,770,1100,1200,1200
GET,/api/v1/cart/{code}/total,4930,0,310.0,335.6509121703891,29.97510000022885,1067.0491000000766,372.0,8.522336729082975,0.0,310,380,420,450,540,610,710,760,970,1100,1100
GET,/api/v1/category,156301,0,300.0,324.9172455160262,15.477899998586508,1520.7146000011562,80.0,270.1926476860848,0.0,300,370,410,440,530,600,700,760,970,1200,1500
GET,/api/v1/config,156926,0,310.0,328.8743297700816,14.435500001127366,1473.1222999998863,287.0,271.2730656284128,0.0,310,370,420,450,530,610,700,770,970,1200,1500
GET,/api/v1/content/boxes,156551,0,300.0,320.7401216874998,13.786699999400298,1367.001699998582,75.0,270.624814863016,0.0,300,360,410,440,520,590,690,760,970,1200,1400
POST,/api/v1/customer/login,3249,0,550.0,571.5647906740687,139.93480000135605,1520.5490999996982,247.8574946137273,5.616444631397685,0.0,550,640,700,740,860,950,1100,1200,1400,1500,1500
POST,/api/v1/customer/register,3252,0,800.0,815.4119151906503,362.00470000039786,1789.2331000002741,247.85762607626077,5.621630637520859,0.0,800,880,940,970,1100,1200,1300,1400,1700,1800,1800
GET,/api/v1/store/languages,156825,0,300.0,318.156269897657,11.18999999926018,1569.1526999999041,34.0,271.0984700889326,0.0,300,360,400,430,520,590,690,750,960,1200,1600
GET,/api/v2/product/friendly/t-shirt?lang=en,4963,0,310.0,332.0159699778374,23.11599999848113,1272.131100000479,1541.720330445295,8.57938279643789,0.0,310,380,420,450,530,600,710,760,1000,1300,1300
GET,/api/v2/product/name/t-shirt?lang=en,156075,0,310.0,331.1036733461492,18.38590000079421,1437.431700000161,1541.7186288643281,269.80196855813904,0.0,310,380,420,450,530,610,700,760,970,1200,1400
POST,/api/v2/product/{id}/variation,4954,0,310.0,331.9775125958926,22.82519999971555,1146.377900000516,118.0,8.56382477806837,0.0,310,380,430,460,530,610,700,760,990,1100,1100
,Aggregated,835028,0,310.0,328.69025811038705,11.18999999926018,1789.2331000002741,443.1167218344774,1443.4867736739754,0.0,310,370,420,450,530,610,710,790,1000,1300,1800
