Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780932936772,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,55.0,65.0,63.15789031982422,63.15789031982422,40.0,84.21052551269531,52.6315803527832,52.6315803527832,80.0,55.0,38.88888931274414,50.0,73.68421173095703,26.3157901763916,78.94737243652344,73.68421173095703,175395.20001220703,235384.46826171875,0,404331982848,8589930496,6120796160,0
199,1780932936972,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,36.84210586547852,60.00000381469727,60.00000381469727,35.0,80.0,30.000001907348636,70.0,70.0,60.00000381469727,45.0,55.0,50.0,61.904762268066406,65.0,65.0,80.95238494873047,175398.74047851565,235393.5765991211,0,404331982848,8589930496,6123601920,0
199,1780932937172,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,57.89473724365234,100.0,75.0,47.36842346191406,57.89473724365234,55.0,36.84210586547852,60.00000381469727,85.71428680419922,45.0,61.904762268066406,52.6315803527832,52.6315803527832,85.0,85.0,73.68421173095703,175402.22235107422,235403.2036743164,0,404331982848,8589930496,6124474368,0
200,1780932937372,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,63.15789031982422,85.0,95.0,65.0,57.142860412597656,66.66667175292969,63.15789031982422,42.105262756347656,68.42105102539062,70.0,63.15789031982422,57.89473724365234,63.15789031982422,52.6315803527832,65.0,70.0,175405.66021728516,235412.82080078125,0,404331982848,8589930496,6119600128,0
199,1780932937572,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,65.0,70.0,57.89473724365234,70.0,60.00000381469727,76.19047546386719,95.0,61.904762268066406,57.89473724365234,100.0,50.0,60.00000381469727,50.0,86.36363983154297,47.36842346191406,57.89473724365234,175409.24145507812,235422.48791503903,0,404331982848,8589930496,6120882176,0
199,1780932937772,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,60.00000381469727,70.0,38.0952377319336,65.0,66.66667175292969,52.6315803527832,35.0,75.0,60.00000381469727,75.0,52.6315803527832,55.0,65.0,47.36842346191406,89.47368621826172,61.904762268066406,175412.8634033203,235431.9429931641,0,404331982848,8589930496,6123819008,0
199,1780932937972,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,66.66667175292969,55.0,75.0,95.23809814453124,61.904762268066406,60.00000381469727,66.66667175292969,57.89473724365234,73.68421173095703,45.0,50.0,80.0,63.15789031982422,66.66667175292969,60.00000381469727,84.21052551269531,175416.5228881836,235441.3748779297,0,404331982848,8589930496,6125801472,0
199,1780932938172,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,71.42857360839844,63.15789031982422,47.36842346191406,75.0,70.0,90.0,68.42105102539062,57.89473724365234,55.0,80.0,85.0,65.0,70.0,63.15789031982422,75.0,90.0,175420.0086669922,235451.04418945315,0,404331982848,8589930496,6129008640,0
199,1780932938372,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,61.11111068725586,60.00000381469727,80.0,68.42105102539062,72.22222137451172,85.0,85.0,55.0,85.0,73.68421173095703,55.0,60.00000381469727,75.0,95.0,65.0,65.0,175423.48126220703,235460.77563476565,0,404331982848,8589930496,6122565632,0
199,1780932938573,1921,800,800,800,2300,924,800,800,800,800,800,799,1000,800,2100,907,71.42857360839844,57.89473724365234,75.0,47.36842346191406,63.15789031982422,75.0,70.0,45.0,80.95238494873047,68.42105102539062,61.11111068725586,89.47368621826172,85.0,84.21052551269531,80.0,89.47368621826172,175427.01135253906,235470.71459960935,0,404331982848,8589930496,6126604288,0
