Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,4054,0,360.0,380.5426375184881,71.17430000016611,1949.8717999995279,2732.50616674889,5.629450360513117,0.0,360,420,460,490,580,640,730,790,1000,1900,1900
GET,/api/v1/auth/customer/cart,4062,0,330.0,352.14711654356984,44.68739999992977,1063.7045999992552,1430.8153618906942,5.640559290676932,0.0,330,390,440,470,550,630,720,780,990,1100,1100
GET,/api/v1/auth/customer/profile,4076,0,310.0,335.2663199460274,26.414699999804725,1198.685899999873,946.9072620215898,5.659999918463608,0.0,310,370,420,450,540,630,740,800,1000,1200,1200
GET,/api/v1/auth/orders,4072,0,320.0,345.57602288802354,25.298700000348617,1244.6463999995103,78.0,5.654445453381701,0.0,320,390,430,470,550,620,710,770,970,1200,1200
POST,/api/v1/cart [Create],10266,2,320.0,346.49675534775247,36.328499999399355,1810.4655999995884,1430.6590687706994,14.25553463271526,0.002777232540953684,320,390,430,460,550,630,720,790,1100,1200,1800
POST,/api/v1/cart/{code}/checkout,6175,0,350.0,376.574012453439,61.930100000608945,1559.3858000002,2692.542995951417,8.5747054701945,0.0,350,420,470,500,580,660,760,820,1100,1600,1600
POST,/api/v1/cart/{code}/shipping,6191,0,320.0,339.53068005169365,29.63369999997667,1186.830600000576,270.0,8.596923330522129,0.0,320,380,430,460,540,620,720,790,1000,1200,1200
GET,/api/v1/cart/{code}/total,6183,0,310.0,338.6957426653743,31.079000000318047,1196.8834000008428,372.0,8.585814400358315,0.0,310,380,430,460,540,620,720,790,980,1200,1200
GET,/api/v1/category,197463,0,300.0,328.6344925165729,18.12210000025516,2354.619000000639,80.0,274.20033461716866,0.0,300,370,420,450,530,610,700,770,990,1200,2400
GET,/api/v1/config,198002,0,310.0,332.256415916001,16.8165000004592,2576.401899999837,287.0,274.94879878695565,0.0,310,380,420,450,530,610,710,780,990,1200,2600
GET,/api/v1/content/boxes,197720,0,300.0,325.08451021697385,17.004399999677844,2758.833400000185,75.0,274.5572089986812,0.0,300,370,410,440,530,600,700,770,990,1300,2800
POST,/api/v1/customer/login,4076,0,560.0,579.9543194798866,139.71459999993385,1887.3307000003479,247.9072620215898,5.659999918463608,0.0,560,650,710,750,860,950,1100,1200,1400,1900,1900
POST,/api/v1/customer/register,4080,0,800.0,819.418352990194,368.38190000071336,1790.1119999996808,247.90833333333333,5.6655543835455155,0.0,800,880,940,980,1100,1200,1300,1400,1700,1800,1800
GET,/api/v1/store/languages,197909,0,300.0,322.2030886584247,15.799799999513198,2429.1991000000053,34.0,274.8196574738013,0.0,300,360,410,440,520,600,700,770,1000,1300,2400
GET,/api/v2/product/friendly/t-shirt?lang=en,6206,0,310.0,336.3052942797304,21.59380000011879,2555.543499999658,1541.77280051563,8.617752574579281,0.0,310,380,420,450,540,620,710,780,980,2600,2600
GET,/api/v2/product/name/t-shirt?lang=en,197205,0,310.0,336.61060520625756,20.224900000357593,2455.976200000805,1541.7902791511372,273.84207161938565,0.0,310,380,430,460,540,620,710,780,1000,1400,2500
POST,/api/v2/product/{id}/variation,6202,0,310.0,329.74024924218645,22.19879999938712,1297.2587999993266,118.0,8.612198109497374,0.0,310,370,420,450,530,610,720,790,1000,1300,1300
,Aggregated,1053942,2,310.0,332.81651724781864,15.799799999513198,2758.833400000185,443.00757821587905,1463.521009338904,0.002777232540953684,310,370,420,450,540,620,720,800,1100,1400,2800
