Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
201,1781448901102,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,55.55555725097656,63.15789031982422,60.00000381469727,100.0,57.142860412597656,55.55555725097656,71.42857360839844,90.0,65.0,45.0,73.68421173095703,60.00000381469727,55.0,90.47618865966795,65.0,76.19047546386719,225903.34051513672,140916.36639404297,0,404331982848,8589930496,6544101376,0
199,1781448901303,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,100.0,57.89473724365234,47.36842346191406,100.0,100.0,76.19047546386719,73.68421173095703,73.68421173095703,85.0,94.73684692382812,52.6315803527832,70.0,65.0,52.6315803527832,66.66667175292969,38.88888931274414,225906.6748046875,140926.23956298828,0,404331982848,8589930496,6544310272,0
199,1781448901503,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,76.19047546386719,76.19047546386719,70.0,90.0,57.89473724365234,61.11111068725586,36.84210586547852,66.66667175292969,57.89473724365234,70.0,75.0,55.0,50.0,100.0,50.0,66.66667175292969,225910.10723876956,140936.08850097656,0,404331982848,8589930496,6547742720,0
199,1781448901703,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,52.6315803527832,63.15789031982422,50.0,55.0,68.42105102539062,40.0,76.19047546386719,68.42105102539062,76.19047546386719,42.105262756347656,60.00000381469727,61.11111068725586,89.47368621826172,40.0,50.0,44.4444465637207,225913.45672607425,140945.5580444336,0,404331982848,8589930496,6550777856,0
200,1781448901903,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,80.0,90.0,76.19047546386719,47.36842346191406,33.333335876464844,80.0,65.0,85.71428680419922,55.55555725097656,70.0,55.0,35.0,86.36363983154297,50.0,63.15789031982422,50.0,225916.78369140625,140955.2119140625,0,404331982848,8589930496,6556684288,0
199,1781448902104,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,60.00000381469727,50.0,73.68421173095703,75.0,52.6315803527832,78.94737243652344,60.00000381469727,72.22222137451172,90.47618865966795,76.19047546386719,80.0,52.6315803527832,55.55555725097656,73.68421173095703,70.0,75.0,225920.31634521484,140964.93505859375,0,404331982848,8589930496,6552633344,0
199,1781448902304,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,57.89473724365234,57.89473724365234,84.21052551269531,47.36842346191406,73.68421173095703,61.904762268066406,45.0,50.0,84.21052551269531,65.0,47.36842346191406,57.89473724365234,55.0,42.85714340209961,70.0,100.0,225923.81427001956,140974.36169433594,0,404331982848,8589930496,6543667200,0
199,1781448902504,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,80.0,50.0,80.95238494873047,65.0,65.0,73.68421173095703,61.11111068725586,70.0,60.00000381469727,61.11111068725586,65.0,36.84210586547852,57.89473724365234,70.0,52.6315803527832,47.36842346191406,225927.2578125,140983.7333984375,0,404331982848,8589930496,6547156992,0
199,1781448902704,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,50.0,78.94737243652344,73.68421173095703,52.6315803527832,45.0,50.0,85.71428680419922,47.619049072265625,33.333335876464844,52.38095474243164,60.00000381469727,42.105262756347656,65.0,45.0,57.89473724365234,85.0,225930.63494873047,140992.85034179688,0,404331982848,8589930496,6547062784,0
200,1781448902904,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,73.68421173095703,55.0,80.95238494873047,50.0,68.42105102539062,100.0,94.73684692382812,66.66667175292969,68.42105102539062,63.15789031982422,90.0,90.0,68.42105102539062,66.66667175292969,90.0,65.0,225934.03729248047,141002.67742919922,0,404331982848,8589930496,6534672384,0
199,1781448903104,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,68.42105102539062,65.0,65.0,71.42857360839844,72.22222137451172,60.00000381469727,52.6315803527832,60.00000381469727,60.00000381469727,75.0,61.11111068725586,100.0,65.0,66.66667175292969,65.0,60.00000381469727,225937.40075683597,141012.48077392578,0,404331982848,8589930496,6533271552,0
200,1781448903304,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,61.904762268066406,61.11111068725586,72.22222137451172,65.0,55.0,36.84210586547852,73.68421173095703,40.0,78.94737243652344,70.0,85.0,40.0,55.0,52.6315803527832,85.71428680419922,78.94737243652344,225940.78649902344,141022.03021240234,0,404331982848,8589930496,6518095872,0
199,1781448903505,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,57.89473724365234,60.00000381469727,85.0,65.0,61.904762268066406,66.66667175292969,55.0,57.89473724365234,65.0,57.89473724365234,70.0,60.00000381469727,50.0,55.55555725097656,42.105262756347656,78.94737243652344,225944.2232666016,141031.4287109375,0,404331982848,8589930496,6519136256,0
199,1781448903705,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,80.0,60.00000381469727,90.0,73.68421173095703,84.21052551269531,52.6315803527832,89.47368621826172,68.42105102539062,78.94737243652344,60.00000381469727,75.0,73.68421173095703,84.21052551269531,55.0,78.94737243652344,63.15789031982422,225947.6881103516,141041.2745361328,0,404331982848,8589930496,6519996416,0
202,1781448903905,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,61.904762268066406,52.6315803527832,89.47368621826172,50.0,55.0,75.0,50.0,70.0,73.68421173095703,52.6315803527832,68.42105102539062,50.0,70.0,60.00000381469727,50.0,80.0,225951.19396972656,141050.767578125,0,404331982848,8589930496,6514499584,0
199,1781448904108,1173,800,1451,2100,2101,2100,800,1287,1002,799,800,799,800,800,2100,800,73.68421173095703,65.0,60.00000381469727,70.0,70.0,65.0,71.42857360839844,70.0,95.23809814453124,66.66667175292969,70.0,84.21052551269531,90.0,75.0,31.57894515991211,47.619049072265625,225954.5703125,141060.92193603516,0,404331982848,8589930496,6513647616,0
