Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1777575693807,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,65.0,80.0,100.0,90.47618865966795,90.47618865966795,84.21052551269531,80.0,94.73684692382812,75.0,66.66667175292969,75.0,66.66667175292969,89.47368621826172,85.0,95.0,89.47368621826172,39730.89453125,144032.50537109375,0,404331384832,8589930496,38929412096,0
200,1777575694007,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,65.0,80.0,100.0,90.47618865966795,90.47618865966795,84.21052551269531,80.0,94.73684692382812,75.0,66.66667175292969,75.0,66.66667175292969,89.47368621826172,85.0,95.0,89.47368621826172,39735.99169921875,144041.70544433594,0,404331384832,8589930496,38929448960,0
199,1777575694207,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,82.5,78.94737243652344,95.1219482421875,87.5,95.0,92.5,92.5,90.0,82.05128479003906,79.4871826171875,76.92308044433594,81.57894897460938,82.5,76.31578826904297,90.47618865966795,95.1219482421875,39741.418395996094,144051.05462646484,0,404331384832,8589930496,38932918272,0
199,1777575694407,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,82.5,78.94737243652344,95.1219482421875,87.5,95.0,92.5,92.5,90.0,82.05128479003906,79.4871826171875,76.92308044433594,81.57894897460938,82.5,76.31578826904297,90.47618865966795,95.1219482421875,39746.470153808594,144060.6405029297,0,404331384832,8589930496,38934024192,0
199,1777575694607,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,82.05128479003906,82.5,100.0,92.30769348144533,87.5,90.243896484375,92.30769348144533,92.68292999267578,81.57894897460938,78.94737243652344,69.23077392578125,79.4871826171875,81.57894897460938,84.61538696289062,92.30769348144533,95.0,39751.76580810547,144069.3486328125,0,404331384832,8589930496,38935076864,0
199,1777575694808,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,75.0,77.77777862548828,100.0,90.90909576416016,88.8888931274414,90.0,85.0,85.0,76.19047546386719,75.0,78.94737243652344,70.0,80.0,81.81818389892578,90.0,90.0,39756.89416503906,144078.47021484375,0,404331384832,8589930496,38932172800,0
199,1777575695008,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,89.47368621826172,85.0,95.23809814453124,100.0,100.0,100.0,95.23809814453124,100.0,73.68421173095703,78.94737243652344,75.0,89.47368621826172,84.21052551269531,78.94737243652344,90.0,94.73684692382812,39762.16088867188,144087.81903076172,0,404331384832,8589930496,38932901888,0
199,1777575695208,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,89.47368621826172,85.0,95.23809814453124,100.0,100.0,100.0,95.23809814453124,100.0,73.68421173095703,78.94737243652344,75.0,89.47368621826172,84.21052551269531,78.94737243652344,90.0,94.73684692382812,39767.12731933594,144096.3189086914,0,404331384832,8589930496,38933839872,0
199,1777575695408,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,68.42105102539062,78.94737243652344,85.0,88.8888931274414,80.95238494873047,90.0,78.94737243652344,85.0,73.68421173095703,63.15789031982422,75.0,75.0,70.0,70.0,85.0,100.0,39772.36492919922,144105.1639404297,0,404331384832,8589930496,38934269952,0
199,1777575695608,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,66.66667175292969,75.0,85.0,80.0,100.0,84.21052551269531,85.71428680419922,90.47618865966795,66.66667175292969,68.42105102539062,70.0,66.66667175292969,72.22222137451172,68.42105102539062,80.0,85.0,39777.72650146485,144113.98126220703,0,404331384832,8589930496,38935486464,0
199,1777575695808,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,66.66667175292969,75.0,85.0,80.0,100.0,84.21052551269531,85.71428680419922,90.47618865966795,66.66667175292969,68.42105102539062,70.0,66.66667175292969,72.22222137451172,68.42105102539062,80.0,85.0,39782.79772949219,144123.11889648438,0,404331384832,8589930496,38936543232,0
200,1777575696008,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,89.74359130859375,82.05128479003906,92.5,90.0,100.0,92.5,95.0,97.43589782714844,79.4871826171875,75.0,85.0,87.5,87.80487823486328,80.0,90.0,87.5,39788.28112792969,144132.625,0,404331384832,8589930496,38940327936,0
199,1777575696208,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,80.0,76.19047546386719,95.4545440673828,89.47368621826172,85.0,80.95238494873047,84.21052551269531,80.0,70.0,68.42105102539062,66.66667175292969,66.66667175292969,75.0,73.68421173095703,89.47368621826172,80.0,39793.32482910156,144141.39349365234,0,404331384832,8589930496,38940831744,0
199,1777575696408,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,80.0,77.77777862548828,100.0,85.71428680419922,84.21052551269531,89.47368621826172,85.0,95.0,78.94737243652344,85.0,85.0,80.0,84.21052551269531,85.0,89.47368621826172,94.73684692382812,39798.49658203125,144150.63989257812,0,404331384832,8589930496,38941487104,0
199,1777575696608,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,80.0,77.77777862548828,100.0,85.71428680419922,84.21052551269531,89.47368621826172,85.0,95.0,78.94737243652344,85.0,85.0,80.0,84.21052551269531,85.0,89.47368621826172,94.73684692382812,39803.58288574219,144160.36071777344,0,404331384832,8589930496,38942978048,0
199,1777575696808,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,92.5,97.56097412109376,100.0,92.30769348144533,97.56097412109376,97.5,100.0,97.5,97.56097412109376,97.5,95.0,97.5,97.5,100.0,97.6190414428711,97.56097412109376,39808.88836669922,144170.3673095703,0,404331384832,8589930496,38942613504,0
199,1777575697009,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,55.55555725097656,63.15789031982422,100.0,85.0,83.33332824707031,78.94737243652344,80.0,85.0,72.22222137451172,63.15789031982422,60.00000381469727,68.42105102539062,68.42105102539062,65.0,83.33332824707031,84.21052551269531,39814.07165527344,144178.95001220703,0,404331384832,8589930496,38940844032,0
200,1777575697209,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,55.55555725097656,63.15789031982422,100.0,85.0,83.33332824707031,78.94737243652344,80.0,85.0,72.22222137451172,63.15789031982422,60.00000381469727,68.42105102539062,68.42105102539062,65.0,83.33332824707031,84.21052551269531,39819.26257324219,144187.93682861328,0,404331384832,8589930496,38943723520,0
199,1777575697409,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,85.36585235595703,75.0,97.56097412109376,90.0,90.243896484375,92.5,92.68292999267578,90.243896484375,75.0,78.94737243652344,78.94737243652344,76.92308044433594,90.0,82.5,95.1219482421875,89.74359130859375,39824.58850097656,144197.41735839844,0,404331384832,8589930496,38945386496,0
199,1777575697609,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,77.77777862548828,84.21052551269531,100.0,100.0,100.0,100.0,100.0,100.0,68.42105102539062,80.95238494873047,90.0,90.47618865966795,90.0,94.73684692382812,95.0,100.0,39829.72198486328,144206.77667236328,0,404331384832,8589930496,38945079296,0
199,1777575697809,893,900,2100,1805,799,800,799,800,1184,900,800,800,800,900,803,800,65.0,75.0,95.4545440673828,80.95238494873047,90.0,90.0,95.0,95.0,63.15789031982422,65.0,60.00000381469727,61.11111068725586,71.42857360839844,63.15789031982422,100.0,95.23809814453124,39834.872131347656,144215.3553466797,0,404331384832,8589930496,38948708352,0
