Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1778094146093,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,31.57894515991211,42.105262756347656,33.333335876464844,31.57894515991211,45.0,35.0,31.57894515991211,40.0,36.84210586547852,38.88888931274414,42.85714340209961,38.88888931274414,38.0952377319336,36.84210586547852,35.0,52.94117736816406,160674.3798828125,185969.92321777344,0,404331384832,8589930496,37659111424,0
199,1778094146293,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,58.97436141967773,51.351348876953125,51.28205490112305,51.351348876953125,65.78947448730469,58.97436141967773,50.0,55.0,55.0,64.10256958007812,52.6315803527832,56.41025924682617,58.97436141967773,51.28205490112305,51.351348876953125,60.00000381469727,160677.75720214844,185977.36651611328,0,404331384832,8589930496,37659996160,0
200,1778094146493,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,57.89473724365234,55.0,65.0,68.42105102539062,100.0,68.42105102539062,50.0,60.00000381469727,52.94117736816406,57.89473724365234,57.89473724365234,50.0,60.00000381469727,60.00000381469727,52.6315803527832,63.15789031982422,160681.4979248047,185985.15618896484,0,404331384832,8589930496,37659729920,0
199,1778094146693,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,57.89473724365234,55.0,63.15789031982422,57.89473724365234,57.89473724365234,50.0,57.142860412597656,57.89473724365234,55.0,57.89473724365234,60.00000381469727,60.00000381469727,65.0,57.142860412597656,89.47368621826172,55.0,160685.1918334961,185992.9117431641,0,404331384832,8589930496,37658664960,0
199,1778094146893,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,65.0,50.0,57.142860412597656,55.0,52.38095474243164,50.0,57.89473724365234,73.68421173095703,60.00000381469727,57.89473724365234,61.11111068725586,60.00000381469727,61.11111068725586,75.0,47.05882263183594,160688.8745727539,186000.82354736328,0,404331384832,8589930496,37658857472,0
199,1778094147093,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,40.0,36.84210586547852,38.88888931274414,55.55555725097656,40.0,47.36842346191406,36.84210586547852,42.105262756347656,36.84210586547852,35.0,38.0952377319336,42.85714340209961,52.6315803527832,36.84210586547852,36.84210586547852,47.619049072265625,160692.12377929688,186007.78192138672,0,404331384832,8589930496,37659430912,0
199,1778094147293,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,40.0,36.84210586547852,38.88888931274414,55.55555725097656,40.0,47.36842346191406,36.84210586547852,42.105262756347656,36.84210586547852,35.0,38.0952377319336,42.85714340209961,52.6315803527832,36.84210586547852,36.84210586547852,47.619049072265625,160696.07360839844,186015.80487060547,0,404331384832,8589930496,37660041216,0
199,1778094147493,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,57.5,53.84615707397461,53.658538818359375,51.28205490112305,54.05405044555664,55.0,57.5,51.28205490112305,55.26315689086914,48.64865112304688,50.0,56.41025924682617,53.84615707397461,55.0,75.0,51.28205490112305,160699.44213867188,186023.04376220703,0,404331384832,8589930496,37661126656,0
199,1778094147694,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,80.0,83.33332824707031,77.77777862548828,75.0,85.0,75.0,73.68421173095703,90.0,80.0,86.36363983154297,84.21052551269531,75.0,73.68421173095703,84.21052551269531,84.21052551269531,78.94737243652344,160703.88903808594,186031.5045166016,0,404331384832,8589930496,37661069312,0
199,1778094147894,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,80.0,83.33332824707031,77.77777862548828,75.0,85.0,75.0,73.68421173095703,90.0,80.0,86.36363983154297,84.21052551269531,75.0,73.68421173095703,84.21052551269531,84.21052551269531,78.94737243652344,160707.30889892578,186038.89434814453,0,404331384832,8589930496,37661642752,0
199,1778094148094,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,56.41025924682617,58.536582946777344,55.0,57.5,59.4594612121582,56.41025924682617,87.5,60.00000381469727,56.75675964355469,55.0,57.89473724365234,57.89473724365234,60.97561264038086,55.26315689086914,53.84615707397461,160711.2108154297,186047.01696777344,0,404331384832,8589930496,37662404608,0
199,1778094148294,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,56.41025924682617,58.536582946777344,55.0,57.5,59.4594612121582,56.41025924682617,87.5,60.00000381469727,56.75675964355469,55.0,57.89473724365234,57.89473724365234,60.97561264038086,55.26315689086914,53.84615707397461,160714.75659179688,186054.4196777344,0,404331384832,8589930496,37662801920,0
199,1778094148494,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,64.10256958007812,65.0,59.4594612121582,66.66667175292969,56.75675964355469,63.15789031982422,60.00000381469727,58.97436141967773,58.97436141967773,62.16216278076172,59.4594612121582,60.00000381469727,60.00000381469727,56.75675964355469,80.48780822753906,58.33333206176758,160718.6533203125,186062.6585083008,0,404331384832,8589930496,37663141888,0
199,1778094148694,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,60.00000381469727,52.6315803527832,57.142860412597656,80.0,52.6315803527832,66.66667175292969,47.36842346191406,55.0,47.05882263183594,61.904762268066406,55.0,47.36842346191406,55.55555725097656,55.55555725097656,50.0,57.142860412597656,160722.197265625,186070.36602783203,0,404331384832,8589930496,37663981568,0
199,1778094148894,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.55555725097656,60.00000381469727,55.55555725097656,76.19047546386719,66.66667175292969,55.55555725097656,65.0,63.15789031982422,52.6315803527832,57.89473724365234,57.89473724365234,63.15789031982422,65.0,60.00000381469727,57.89473724365234,55.55555725097656,160725.8882446289,186078.22216796875,0,404331384832,8589930496,37666107392,0
199,1778094149094,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,38.0952377319336,33.333335876464844,31.57894515991211,27.77777862548828,42.85714340209961,50.0,40.0,50.0,38.0952377319336,31.57894515991211,27.77777862548828,45.0,31.57894515991211,55.0,35.0,40.0,160728.92584228516,186085.0428466797,0,404331384832,8589930496,37665771520,0
199,1778094149294,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,78.94737243652344,73.68421173095703,80.0,80.95238494873047,78.94737243652344,100.0,78.94737243652344,78.94737243652344,72.22222137451172,80.0,80.0,66.66667175292969,73.68421173095703,75.0,77.77777862548828,85.0,160733.16455078125,186093.5133666992,0,404331384832,8589930496,37666066432,0
199,1778094149494,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,78.94737243652344,73.68421173095703,80.0,80.95238494873047,78.94737243652344,100.0,78.94737243652344,78.94737243652344,72.22222137451172,80.0,80.0,66.66667175292969,73.68421173095703,75.0,77.77777862548828,85.0,160736.54522705078,186100.61987304688,0,404331384832,8589930496,37668286464,0
199,1778094149694,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,50.0,52.6315803527832,60.00000381469727,69.23077392578125,71.79487609863281,53.84615707397461,52.6315803527832,53.84615707397461,52.6315803527832,50.0,51.28205490112305,45.945945739746094,51.28205490112305,55.0,56.09756088256836,60.52631759643555,160740.3662109375,186108.6138916016,0,404331384832,8589930496,37669015552,0
199,1778094149894,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,66.66667175292969,60.00000381469727,80.0,72.22222137451172,68.42105102539062,68.42105102539062,66.66667175292969,71.42857360839844,57.89473724365234,63.15789031982422,68.42105102539062,64.70588684082031,65.0,61.11111068725586,70.0,70.0,160744.54498291016,186116.74932861328,0,404331384832,8589930496,37669908480,0
199,1778094150094,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.0,55.55555725097656,65.0,61.904762268066406,55.0,65.0,71.42857360839844,82.35294342041016,57.89473724365234,52.6315803527832,52.6315803527832,57.142860412597656,52.38095474243164,60.00000381469727,63.15789031982422,63.15789031982422,160748.2255859375,186124.3189086914,0,404331384832,8589930496,37669965824,0
199,1778094150294,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,68.42105102539062,71.42857360839844,57.89473724365234,73.68421173095703,63.15789031982422,68.42105102539062,65.0,77.2727279663086,68.18181610107422,66.66667175292969,71.42857360839844,70.0,66.66667175292969,66.66667175292969,68.42105102539062,61.11111068725586,160752.21844482422,186132.59307861328,0,404331384832,8589930496,37671309312,0
199,1778094150495,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,36.84210586547852,36.84210586547852,36.84210586547852,45.0,50.0,47.619049072265625,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,36.84210586547852,40.0,42.105262756347656,45.0,40.0,43.4782600402832,160755.41479492188,186139.46807861328,0,404331384832,8589930496,37673508864,0
199,1778094150695,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,36.84210586547852,36.84210586547852,36.84210586547852,45.0,50.0,47.619049072265625,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,36.84210586547852,40.0,42.105262756347656,45.0,40.0,43.4782600402832,160759.47076416016,186147.8110961914,0,404331384832,8589930496,37674258432,0
200,1778094150895,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,65.0,61.5384635925293,64.10256958007812,58.97436141967773,67.56756591796875,75.0,67.5,63.15789031982422,67.5,62.16216278076172,63.15789031982422,62.5,63.15789031982422,61.5384635925293,62.16216278076172,160763.26171875,186155.60791015625,0,404331384832,8589930496,37675220992,0
200,1778094151095,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,71.42857360839844,68.42105102539062,68.42105102539062,73.68421173095703,61.11111068725586,57.89473724365234,73.68421173095703,65.0,68.42105102539062,63.15789031982422,66.66667175292969,66.66667175292969,60.00000381469727,70.0,80.0,57.89473724365234,160767.12384033203,186163.6549682617,0,404331384832,8589930496,37675274240,0
200,1778094151295,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,70.0,57.89473724365234,63.15789031982422,65.0,63.15789031982422,65.0,50.0,70.0,70.0,60.00000381469727,70.0,65.0,70.0,65.0,94.73684692382812,71.42857360839844,160771.06951904297,186171.76684570315,0,404331384832,8589930496,37676527616,0
199,1778094151495,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,50.0,55.0,42.105262756347656,45.0,65.0,50.0,47.619049072265625,36.84210586547852,52.6315803527832,44.4444465637207,38.88888931274414,47.36842346191406,50.0,55.0,47.36842346191406,52.94117736816406,160774.57232666016,186179.21002197263,0,404331384832,8589930496,37676711936,0
200,1778094151695,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,50.0,55.0,42.105262756347656,45.0,65.0,50.0,47.619049072265625,36.84210586547852,52.6315803527832,44.4444465637207,38.88888931274414,47.36842346191406,50.0,55.0,47.36842346191406,52.94117736816406,160777.67755126953,186185.95849609372,0,404331384832,8589930496,37677137920,0
200,1778094151896,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,52.6315803527832,50.0,50.0,47.36842346191406,65.0,53.84615707397461,48.64865112304688,62.5,52.499996185302734,55.0,52.6315803527832,52.499996185302734,60.00000381469727,52.6315803527832,51.28205490112305,51.28205490112305,160781.49884033203,186194.01153564453,0,404331384832,8589930496,37677281280,0
199,1778094152096,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,42.105262756347656,47.619049072265625,44.4444465637207,45.0,50.0,42.105262756347656,45.0,52.6315803527832,44.4444465637207,47.619049072265625,52.38095474243164,50.0,45.0,50.0,85.0,47.36842346191406,160784.8060913086,186200.9420166016,0,404331384832,8589930496,37678501888,0
199,1778094152296,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,70.0,68.42105102539062,61.904762268066406,73.68421173095703,65.0,66.66667175292969,66.66667175292969,86.36363983154297,70.0,70.0,64.70588684082031,68.42105102539062,66.66667175292969,68.42105102539062,80.0,71.42857360839844,160788.716796875,186209.1791381836,0,404331384832,8589930496,37679079424,0
199,1778094152496,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,68.42105102539062,63.15789031982422,58.82353210449219,85.0,63.15789031982422,68.42105102539062,61.904762268066406,58.82353210449219,47.36842346191406,55.55555725097656,57.89473724365234,61.11111068725586,60.00000381469727,55.0,61.11111068725586,72.22222137451172,160792.49548339844,186216.99487304688,0,404331384832,8589930496,37679898624,0
199,1778094152697,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,60.00000381469727,57.89473724365234,70.0,73.68421173095703,70.0,75.0,73.68421173095703,61.904762268066406,66.66667175292969,61.904762268066406,60.00000381469727,57.89473724365234,60.00000381469727,57.89473724365234,57.89473724365234,52.6315803527832,160796.50164794922,186224.9546508789,0,404331384832,8589930496,37680992256,0
199,1778094152897,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,60.00000381469727,57.89473724365234,70.0,73.68421173095703,70.0,75.0,73.68421173095703,61.904762268066406,66.66667175292969,61.904762268066406,60.00000381469727,57.89473724365234,60.00000381469727,57.89473724365234,57.89473724365234,52.6315803527832,160800.5044555664,186233.1104736328,0,404331384832,8589930496,37681479680,0
199,1778094153097,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,61.5384635925293,59.4594612121582,61.5384635925293,65.0,57.89473724365234,84.61538696289062,55.26315689086914,62.16216278076172,64.10256958007812,61.5384635925293,60.52631759643555,59.4594612121582,58.97436141967773,61.5384635925293,64.10256958007812,66.66667175292969,160804.2778930664,186240.7984619141,0,404331384832,8589930496,37681127424,0
199,1778094153297,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,71.42857360839844,76.19047546386719,70.0,63.15789031982422,61.904762268066406,61.904762268066406,55.0,55.0,68.42105102539062,73.68421173095703,70.0,63.15789031982422,63.15789031982422,70.0,73.68421173095703,60.00000381469727,160808.18188476565,186248.86596679688,0,404331384832,8589930496,37681258496,0
200,1778094153497,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,68.42105102539062,57.89473724365234,57.89473724365234,68.42105102539062,63.15789031982422,63.15789031982422,63.15789031982422,66.66667175292969,63.15789031982422,66.66667175292969,60.00000381469727,65.0,65.0,63.15789031982422,72.22222137451172,63.15789031982422,160811.9014892578,186256.7801513672,0,404331384832,8589930496,37681700864,0
200,1778094153697,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,57.89473724365234,60.00000381469727,55.0,52.6315803527832,52.6315803527832,61.11111068725586,55.0,57.89473724365234,57.89473724365234,57.89473724365234,55.55555725097656,60.00000381469727,60.00000381469727,57.89473724365234,80.0,73.68421173095703,160815.57891845703,186264.60107421875,0,404331384832,8589930496,37682315264,0
199,1778094153897,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,63.15789031982422,68.42105102539062,71.42857360839844,60.00000381469727,65.0,60.00000381469727,66.66667175292969,61.904762268066406,61.11111068725586,60.00000381469727,65.0,66.66667175292969,65.0,57.89473724365234,95.23809814453124,160819.53448486328,186272.7300415039,0,404331384832,8589930496,37684473856,0
199,1778094154097,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,63.15789031982422,68.42105102539062,71.42857360839844,60.00000381469727,65.0,60.00000381469727,66.66667175292969,61.904762268066406,61.11111068725586,60.00000381469727,65.0,66.66667175292969,65.0,57.89473724365234,95.23809814453124,160823.61657714844,186281.19885253903,0,404331384832,8589930496,37685452800,0
199,1778094154297,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,64.10256958007812,66.66667175292969,61.5384635925293,60.00000381469727,79.4871826171875,57.89473724365234,65.0,62.16216278076172,59.4594612121582,62.5,58.97436141967773,65.0,65.8536605834961,64.10256958007812,65.78947448730469,64.10256958007812,160827.10919189453,186288.66149902344,0,404331384832,8589930496,37684678656,0
199,1778094154497,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.0,60.00000381469727,61.11111068725586,65.0,70.0,57.89473724365234,52.6315803527832,50.0,61.904762268066406,50.0,57.89473724365234,57.89473724365234,57.89473724365234,55.55555725097656,57.142860412597656,63.15789031982422,160830.94793701172,186296.45196533203,0,404331384832,8589930496,37688205312,0
199,1778094154697,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.0,60.00000381469727,61.11111068725586,65.0,70.0,57.89473724365234,52.6315803527832,50.0,61.904762268066406,50.0,57.89473724365234,57.89473724365234,57.89473724365234,55.55555725097656,57.142860412597656,63.15789031982422,160834.65087890625,186304.42095947263,0,404331384832,8589930496,37691379712,0
201,1778094154897,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,58.97436141967773,60.52631759643555,51.219512939453125,50.0,56.41025924682617,53.84615707397461,45.945945739746094,48.71794891357422,54.05405044555664,57.5,51.28205490112305,56.41025924682617,56.41025924682617,56.09756088256836,58.97436141967773,60.52631759643555,160837.9398803711,186311.6461791992,0,404331384832,8589930496,37695692800,0
199,1778094155099,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,68.42105102539062,63.15789031982422,68.42105102539062,70.0,100.0,66.66667175292969,70.0,75.0,76.19047546386719,84.21052551269531,75.0,75.0,73.68421173095703,80.0,68.42105102539062,66.66667175292969,160842.29595947266,186319.9818725586,0,404331384832,8589930496,37702889472,0
199,1778094155299,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,70.0,70.0,85.0,78.94737243652344,71.42857360839844,71.42857360839844,70.0,78.94737243652344,68.42105102539062,60.00000381469727,80.0,63.15789031982422,71.42857360839844,66.66667175292969,65.0,66.66667175292969,160846.666015625,186328.31713867188,0,404331384832,8589930496,37706137600,0
199,1778094155499,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,65.0,52.6315803527832,55.55555725097656,63.15789031982422,60.00000381469727,55.55555725097656,90.47618865966795,60.00000381469727,70.0,61.11111068725586,57.89473724365234,57.89473724365234,60.00000381469727,61.11111068725586,60.00000381469727,160850.53271484375,186336.3452758789,0,404331384832,8589930496,37708390400,0
199,1778094155699,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,66.66667175292969,68.42105102539062,57.89473724365234,65.0,71.42857360839844,95.23809814453124,55.55555725097656,63.15789031982422,63.15789031982422,66.66667175292969,65.0,70.0,68.42105102539062,70.0,65.0,63.15789031982422,160854.51666259766,186344.47106933597,0,404331384832,8589930496,37708656640,0
199,1778094155899,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,66.66667175292969,68.42105102539062,57.89473724365234,65.0,71.42857360839844,95.23809814453124,55.55555725097656,63.15789031982422,63.15789031982422,66.66667175292969,65.0,70.0,68.42105102539062,70.0,65.0,63.15789031982422,160858.18603515625,186352.23822021484,0,404331384832,8589930496,37708357632,0
199,1778094156100,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,56.41025924682617,51.28205490112305,52.6315803527832,51.28205490112305,64.86486053466797,64.86486053466797,50.0,47.5,50.0,52.6315803527832,52.6315803527832,53.84615707397461,50.0,50.0,51.28205490112305,52.6315803527832,160861.63568115234,186359.39709472656,0,404331384832,8589930496,37710925824,0
199,1778094156300,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,60.00000381469727,52.38095474243164,63.15789031982422,68.42105102539062,80.95238494873047,50.0,63.15789031982422,65.0,66.66667175292969,60.00000381469727,68.42105102539062,61.11111068725586,66.66667175292969,57.89473724365234,63.15789031982422,160865.3106689453,186367.2584228516,0,404331384832,8589930496,37712400384,0
199,1778094156500,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.55555725097656,55.0,47.05882263183594,55.0,63.15789031982422,94.73684692382812,61.904762268066406,57.89473724365234,52.6315803527832,52.6315803527832,60.00000381469727,55.0,57.142860412597656,52.6315803527832,57.89473724365234,55.0,160868.97039794922,186374.91357421875,0,404331384832,8589930496,37712371712,0
199,1778094156700,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,72.22222137451172,72.7272720336914,73.68421173095703,70.0,70.0,66.66667175292969,75.0,70.0,61.11111068725586,61.11111068725586,70.0,68.42105102539062,72.22222137451172,66.66667175292969,77.77777862548828,160873.01708984375,186383.14379882812,0,404331384832,8589930496,37712236544,0
199,1778094156900,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,61.11111068725586,63.15789031982422,60.00000381469727,57.89473724365234,65.0,61.904762268066406,61.904762268066406,60.00000381469727,61.11111068725586,61.904762268066406,61.904762268066406,58.82353210449219,68.42105102539062,61.11111068725586,63.15789031982422,95.0,160876.92749023438,186391.1639404297,0,404331384832,8589930496,37711945728,0
199,1778094157100,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,66.66667175292969,70.0,63.15789031982422,57.89473724365234,85.0,50.0,60.00000381469727,55.0,65.0,63.15789031982422,61.11111068725586,65.0,61.904762268066406,60.00000381469727,57.89473724365234,70.0,160880.74053955078,186399.05224609372,0,404331384832,8589930496,37713059840,0
199,1778094157300,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,60.00000381469727,60.00000381469727,57.89473724365234,65.0,63.15789031982422,50.0,63.15789031982422,52.6315803527832,60.00000381469727,55.0,52.6315803527832,57.89473724365234,61.11111068725586,65.0,60.00000381469727,78.94737243652344,160884.4478149414,186406.74633789065,0,404331384832,8589930496,37713391616,0
199,1778094157500,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,55.55555725097656,57.89473724365234,61.904762268066406,63.15789031982422,61.904762268066406,60.00000381469727,84.21052551269531,60.00000381469727,61.904762268066406,60.00000381469727,57.89473724365234,60.00000381469727,57.142860412597656,60.00000381469727,63.15789031982422,71.42857360839844,160888.2449951172,186414.48529052731,0,404331384832,8589930496,37713723392,0
199,1778094157700,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,63.15789031982422,63.15789031982422,57.89473724365234,57.142860412597656,60.00000381469727,70.0,75.0,65.0,58.82353210449219,57.89473724365234,61.904762268066406,63.15789031982422,63.15789031982422,60.00000381469727,77.77777862548828,61.11111068725586,160891.99798583984,186422.35290527344,0,404331384832,8589930496,37714079744,0
199,1778094157900,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,70.0,52.6315803527832,55.55555725097656,50.0,60.00000381469727,60.00000381469727,57.89473724365234,66.66667175292969,65.0,65.0,57.89473724365234,70.0,65.0,95.0,52.6315803527832,160895.82482910156,186430.3259277344,0,404331384832,8589930496,37715378176,0
199,1778094158100,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,55.55555725097656,63.15789031982422,57.89473724365234,57.89473724365234,57.89473724365234,50.0,60.00000381469727,63.15789031982422,58.82353210449219,55.55555725097656,55.0,57.89473724365234,57.89473724365234,84.21052551269531,80.0,160899.70733642578,186438.26440429688,0,404331384832,8589930496,37716475904,0
200,1778094158300,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.0,55.55555725097656,63.15789031982422,57.89473724365234,57.89473724365234,57.89473724365234,50.0,60.00000381469727,63.15789031982422,58.82353210449219,55.55555725097656,55.0,57.89473724365234,57.89473724365234,84.21052551269531,80.0,160903.78387451172,186446.65838623047,0,404331384832,8589930496,37716738048,0
199,1778094158501,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.8536605834961,57.5,55.26315689086914,53.84615707397461,62.5,56.41025924682617,60.00000381469727,57.89473724365234,63.15789031982422,65.0,65.0,60.52631759643555,64.10256958007812,60.97561264038086,87.5,52.499996185302734,160907.34002685547,186454.1227416992,0,404331384832,8589930496,37718736896,0
199,1778094158701,800,800,810,917,800,813,1096,800,2100,800,799,1300,1087,799,800,800,65.8536605834961,57.5,55.26315689086914,53.84615707397461,62.5,56.41025924682617,60.00000381469727,57.89473724365234,63.15789031982422,65.0,65.0,60.52631759643555,64.10256958007812,60.97561264038086,87.5,52.499996185302734,160911.37841796875,186462.3240966797,0,404331384832,8589930496,37718630400,0
