Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780495072648,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,75.0,97.36841583251952,97.5,97.43589782714844,97.56097412109376,100.0,92.5,74.35897827148438,79.4871826171875,87.17948913574219,81.0810775756836,79.4871826171875,80.0,95.0,97.5,181705.0454711914,131879.8515625,0,404331364352,8589930496,15855861760,66023424
199,1780495072847,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,75.0,97.36841583251952,97.5,97.43589782714844,97.56097412109376,100.0,92.5,74.35897827148438,79.4871826171875,87.17948913574219,81.0810775756836,79.4871826171875,80.0,95.0,97.5,181710.48303222656,131888.89141845703,0,404331364352,8589930496,15857061888,66023424
199,1780495073047,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,72.97296905517578,80.0,92.5,85.0,95.0,90.0,79.4871826171875,100.0,76.31578826904297,75.0,60.52631759643555,76.31578826904297,71.79487609863281,67.56756591796875,82.05128479003906,92.5,181715.97705078125,131898.17626953125,0,404331364352,8589930496,15857876992,66023424
199,1780495073247,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,89.47368621826172,95.0,95.23809814453124,95.0,100.0,100.0,100.0,100.0,80.0,80.0,90.0,89.47368621826172,95.23809814453124,75.0,95.0,95.0,181721.49005126956,131908.01336669922,0,404331364352,8589930496,15869812736,66023424
199,1780495073447,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,95.23809814453124,94.73684692382812,100.0,100.0,95.23809814453124,95.23809814453124,100.0,95.0,94.73684692382812,100.0,100.0,89.47368621826172,88.8888931274414,89.47368621826172,100.0,100.0,181727.013671875,131918.1134033203,0,404331364352,8589930496,15884083200,66023424
199,1780495073648,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,89.47368621826172,78.94737243652344,90.0,95.0,89.47368621826172,94.73684692382812,90.0,100.0,100.0,90.0,85.71428680419922,84.21052551269531,90.0,84.21052551269531,94.73684692382812,100.0,181732.6890869141,131927.91467285156,0,404331364352,8589930496,15889555456,66023424
199,1780495073848,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,70.0,70.0,70.5882339477539,84.21052551269531,75.0,75.0,100.0,61.904762268066406,100.0,68.42105102539062,88.8888931274414,73.68421173095703,73.68421173095703,73.68421173095703,73.68421173095703,78.94737243652344,181738.19787597656,131937.2241821289,0,404331364352,8589930496,15877492736,66023424
199,1780495074048,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,73.68421173095703,68.42105102539062,90.47618865966795,66.66667175292969,75.0,100.0,64.70588684082031,73.68421173095703,66.66667175292969,80.0,71.42857360839844,73.68421173095703,89.47368621826172,68.42105102539062,68.42105102539062,181744.07263183597,131946.62286376953,0,404331364352,8589930496,15851520000,66023424
199,1780495074248,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,35.0,31.57894515991211,42.85714340209961,47.36842346191406,50.0,33.333335876464844,100.0,31.57894515991211,26.3157901763916,30.000001907348636,30.000001907348636,26.3157901763916,60.00000381469727,35.0,35.0,35.0,181749.08544921875,131953.87774658203,0,404331364352,8589930496,15850549248,66023424
199,1780495074448,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,55.55555725097656,50.0,63.15789031982422,47.36842346191406,50.0,52.6315803527832,61.11111068725586,60.00000381469727,52.6315803527832,50.0,47.36842346191406,50.0,55.0,50.0,52.6315803527832,47.36842346191406,181754.4073486328,131962.02197265625,0,404331364352,8589930496,15849734144,66023424
199,1780495074648,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,47.36842346191406,50.0,50.0,73.68421173095703,52.38095474243164,50.0,55.0,47.36842346191406,50.0,50.0,44.4444465637207,50.0,50.0,45.0,44.4444465637207,52.6315803527832,181759.6385498047,131970.0235595703,0,404331364352,8589930496,15858835456,66023424
199,1780495074848,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,55.0,47.36842346191406,50.0,55.0,41.17647171020508,50.0,60.00000381469727,55.55555725097656,50.0,50.0,50.0,52.6315803527832,47.36842346191406,50.0,47.36842346191406,42.105262756347656,181764.92700195315,131978.0078125,0,404331364352,8589930496,15873327104,66023424
199,1780495075048,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,55.55555725097656,47.36842346191406,89.47368621826172,50.0,50.0,52.6315803527832,60.00000381469727,55.0,50.0,50.0,55.55555725097656,50.0,44.4444465637207,52.6315803527832,52.6315803527832,63.15789031982422,181770.26068115237,131986.20611572266,0,404331364352,8589930496,15885688832,66023424
199,1780495075248,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,68.42105102539062,63.15789031982422,75.0,63.15789031982422,70.0,90.0,66.66667175292969,68.42105102539062,66.66667175292969,61.11111068725586,61.11111068725586,64.70588684082031,65.0,65.0,68.42105102539062,68.42105102539062,181775.85968017575,131995.02124023438,0,404331364352,8589930496,15886745600,66023424
199,1780495075448,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,40.0,40.0,36.84210586547852,45.0,36.84210586547852,36.84210586547852,45.0,42.85714340209961,42.85714340209961,50.0,35.0,38.0952377319336,36.84210586547852,29.411766052246094,50.0,47.36842346191406,181781.0316772461,132002.4965209961,0,404331364352,8589930496,15889281024,66023424
199,1780495075648,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,40.0,40.0,36.84210586547852,45.0,36.84210586547852,36.84210586547852,45.0,42.85714340209961,42.85714340209961,50.0,35.0,38.0952377319336,36.84210586547852,29.411766052246094,50.0,47.36842346191406,181786.34509277344,132010.33813476565,0,404331364352,8589930496,15884140544,66023424
199,1780495075849,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,45.945945739746094,44.73684310913086,43.24324417114258,42.105262756347656,48.71794891357422,47.36842346191406,50.0,43.24324417114258,51.28205490112305,48.71794891357422,41.66666412353516,43.24324417114258,57.5,44.73684310913086,50.0,66.66667175292969,181791.54229736328,132018.13568115234,0,404331364352,8589930496,15887945728,66023424
199,1780495076049,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,60.00000381469727,55.0,57.89473724365234,63.15789031982422,52.6315803527832,50.0,61.11111068725586,55.0,55.55555725097656,52.6315803527832,50.0,55.0,52.6315803527832,52.6315803527832,75.0,75.0,181796.85125732425,132026.3057861328,0,404331364352,8589930496,15901536256,66023424
199,1780495076249,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,30.000001907348636,22.22222328186035,31.57894515991211,33.333335876464844,35.0,33.333335876464844,40.0,31.57894515991211,30.000001907348636,30.000001907348636,28.571430206298828,26.3157901763916,31.57894515991211,26.3157901763916,60.00000381469727,26.3157901763916,181801.85412597656,132033.28192138672,0,404331364352,8589930496,15914582016,66023424
199,1780495076449,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,30.000001907348636,22.22222328186035,31.57894515991211,33.333335876464844,35.0,33.333335876464844,40.0,31.57894515991211,30.000001907348636,30.000001907348636,28.571430206298828,26.3157901763916,31.57894515991211,26.3157901763916,60.00000381469727,26.3157901763916,181807.46508789065,132042.21258544922,0,404331364352,8589930496,15924547584,66023424
199,1780495076649,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,71.05262756347656,66.66667175292969,63.15789031982422,68.42105102539062,64.86486053466797,72.97296905517578,63.88888931274414,72.97296905517578,64.10256958007812,65.78947448730469,64.86486053466797,63.15789031982422,63.15789031982422,65.78947448730469,75.67567443847656,63.15789031982422,181812.94512939453,132050.85314941406,0,404331364352,8589930496,15943454720,66023424
200,1780495076849,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,60.00000381469727,57.89473724365234,61.904762268066406,63.15789031982422,65.0,70.0,70.0,57.89473724365234,60.00000381469727,57.89473724365234,63.15789031982422,57.89473724365234,57.89473724365234,61.11111068725586,60.00000381469727,68.42105102539062,181818.4945678711,132059.1805419922,0,404331364352,8589930496,15940780032,66023424
199,1780495077049,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,65.0,55.55555725097656,61.11111068725586,55.0,55.0,66.66667175292969,71.42857360839844,57.89473724365234,57.89473724365234,52.94117736816406,60.00000381469727,52.6315803527832,60.00000381469727,50.0,57.89473724365234,65.0,181824.04736328125,132067.55908203125,0,404331364352,8589930496,15947083776,66023424
199,1780495077249,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,29.411766052246094,36.84210586547852,40.0,31.57894515991211,36.84210586547852,35.0,29.411766052246094,52.38095474243164,35.0,35.0,42.105262756347656,31.57894515991211,31.57894515991211,31.57894515991211,45.0,38.88888931274414,181828.97869873047,132074.60845947266,0,404331364352,8589930496,15952543744,66023424
199,1780495077449,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,29.411766052246094,36.84210586547852,40.0,31.57894515991211,36.84210586547852,35.0,29.411766052246094,52.38095474243164,35.0,35.0,42.105262756347656,31.57894515991211,31.57894515991211,31.57894515991211,45.0,38.88888931274414,181834.349609375,132082.8256225586,0,404331364352,8589930496,15957254144,66023424
199,1780495077649,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,55.0,50.0,50.0,57.89473724365234,52.6315803527832,55.55555725097656,60.00000381469727,68.42105102539062,47.36842346191406,70.0,44.4444465637207,52.6315803527832,50.0,50.0,77.77777862548828,57.142860412597656,181839.52282714844,132090.71459960938,0,404331364352,8589930496,15945490432,66023424
199,1780495077849,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,60.52631759643555,58.97436141967773,68.42105102539062,56.75675964355469,58.97436141967773,74.35897827148438,65.78947448730469,64.86486053466797,57.89473724365234,64.86486053466797,59.4594612121582,56.75675964355469,56.75675964355469,55.55555725097656,79.4871826171875,60.52631759643555,181845.21588134769,132099.81939697266,0,404331364352,8589930496,15946993664,66023424
199,1780495078049,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,68.42105102539062,75.0,80.0,85.0,73.68421173095703,84.21052551269531,90.0,75.0,65.0,68.42105102539062,75.0,66.66667175292969,70.0,78.94737243652344,80.95238494873047,89.47368621826172,181850.85345458984,132108.90655517578,0,404331364352,8589930496,15956275200,66023424
199,1780495078250,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,68.42105102539062,75.0,80.0,85.0,73.68421173095703,84.21052551269531,90.0,75.0,65.0,68.42105102539062,75.0,66.66667175292969,70.0,78.94737243652344,80.95238494873047,89.47368621826172,181856.10443115237,132117.17987060547,0,404331364352,8589930496,15961157632,66023424
199,1780495078450,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,52.6315803527832,50.0,50.0,52.6315803527832,63.41463470458984,52.6315803527832,50.0,52.6315803527832,54.05405044555664,51.28205490112305,47.36842346191406,47.36842346191406,47.36842346191406,50.0,54.05405044555664,60.52631759643555,181861.3558959961,132125.03173828125,0,404331364352,8589930496,15981821952,66023424
199,1780495078650,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,52.6315803527832,50.0,50.0,52.6315803527832,63.41463470458984,52.6315803527832,50.0,52.6315803527832,54.05405044555664,51.28205490112305,47.36842346191406,47.36842346191406,47.36842346191406,50.0,54.05405044555664,60.52631759643555,181866.58331298828,132133.05493164065,0,404331364352,8589930496,16005152768,66023424
199,1780495078850,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,44.73684310913086,39.47368621826172,51.28205490112305,55.26315689086914,36.11111068725586,42.105262756347656,41.02564239501953,40.5405387878418,36.84210586547852,36.84210586547852,39.47368621826172,39.47368621826172,41.02564239501953,48.78048706054688,45.0,58.97436141967773,181871.39434814453,132139.99096679688,0,404331364352,8589930496,15987765248,66023424
199,1780495079050,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,57.89473724365234,57.89473724365234,89.47368621826172,63.15789031982422,63.15789031982422,70.0,55.55555725097656,68.42105102539062,63.15789031982422,70.0,57.89473724365234,65.0,57.89473724365234,61.11111068725586,63.15789031982422,55.55555725097656,181876.82720947263,132148.58056640625,0,404331364352,8589930496,15984529408,66023424
199,1780495079250,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,75.0,95.0,73.68421173095703,78.94737243652344,73.68421173095703,75.0,80.0,75.0,78.94737243652344,68.42105102539062,68.42105102539062,71.42857360839844,73.68421173095703,84.21052551269531,77.77777862548828,181882.53045654297,132157.78802490234,0,404331364352,8589930496,16008179712,66023424
199,1780495079450,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,78.94737243652344,89.47368621826172,80.0,78.94737243652344,85.0,94.73684692382812,85.0,73.68421173095703,73.68421173095703,75.0,85.0,73.68421173095703,73.68421173095703,95.0,80.95238494873047,181888.23150634769,132167.12817382812,0,404331364352,8589930496,16019988480,66023424
199,1780495079650,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,71.42857360839844,64.70588684082031,75.0,80.0,78.94737243652344,66.66667175292969,77.77777862548828,64.70588684082031,73.68421173095703,84.21052551269531,70.0,66.66667175292969,72.22222137451172,73.68421173095703,89.47368621826172,78.94737243652344,181893.81640625,132176.29174804688,0,404331364352,8589930496,16015011840,66023424
199,1780495079850,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,42.105262756347656,36.84210586547852,47.36842346191406,40.0,40.0,33.333335876464844,50.0,63.15789031982422,33.333335876464844,35.0,36.84210586547852,36.84210586547852,50.0,45.0,36.84210586547852,60.00000381469727,181898.8962402344,132183.7943725586,0,404331364352,8589930496,16018432000,66023424
199,1780495080050,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,42.105262756347656,36.84210586547852,47.36842346191406,40.0,40.0,33.333335876464844,50.0,63.15789031982422,33.333335876464844,35.0,36.84210586547852,36.84210586547852,50.0,45.0,36.84210586547852,60.00000381469727,181904.0450439453,132191.70922851565,0,404331364352,8589930496,16024821760,66023424
199,1780495080250,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,44.4444465637207,44.73684310913086,47.36842346191406,41.66666412353516,43.24324417114258,43.24324417114258,44.73684310913086,46.153846740722656,43.24324417114258,55.26315689086914,51.28205490112305,50.0,53.84615707397461,50.0,47.36842346191406,43.24324417114258,181909.35009765625,132199.73602294922,0,404331364352,8589930496,16010178560,66023424
199,1780495080450,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,44.4444465637207,44.73684310913086,47.36842346191406,41.66666412353516,43.24324417114258,43.24324417114258,44.73684310913086,46.153846740722656,43.24324417114258,55.26315689086914,51.28205490112305,50.0,53.84615707397461,50.0,47.36842346191406,43.24324417114258,181914.85034179688,132208.63989257812,0,404331364352,8589930496,15997091840,66023424
199,1780495080651,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,74.35897827148438,71.05262756347656,66.66667175292969,67.5,65.78947448730469,65.78947448730469,65.78947448730469,64.86486053466797,75.0,71.79487609863281,65.78947448730469,76.31578826904297,72.97296905517578,69.23077392578125,63.88888931274414,69.23077392578125,181920.53247070315,132217.9116821289,0,404331364352,8589930496,15989649408,66023424
199,1780495080851,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,65.0,68.42105102539062,58.82353210449219,57.89473724365234,57.89473724365234,60.00000381469727,61.11111068725586,55.55555725097656,60.00000381469727,73.68421173095703,72.22222137451172,57.89473724365234,68.42105102539062,55.55555725097656,57.89473724365234,57.89473724365234,181926.0093383789,132226.71807861328,0,404331364352,8589930496,15993413632,66023424
199,1780495081051,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,41.17647171020508,44.4444465637207,42.105262756347656,38.88888931274414,42.105262756347656,50.0,44.4444465637207,38.88888931274414,47.36842346191406,42.105262756347656,50.0,47.36842346191406,52.6315803527832,52.6315803527832,50.0,50.0,181931.2305297852,132234.65234375,0,404331364352,8589930496,15995740160,66023424
199,1780495081251,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,36.84210586547852,27.77777862548828,31.57894515991211,30.000001907348636,31.57894515991211,45.0,31.57894515991211,31.57894515991211,40.0,27.77777862548828,50.0,33.333335876464844,40.0,33.333335876464844,38.88888931274414,47.36842346191406,181936.2562866211,132241.95275878906,0,404331364352,8589930496,15994757120,66023424
199,1780495081451,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,31.57894515991211,31.57894515991211,35.0,36.84210586547852,33.333335876464844,33.333335876464844,36.84210586547852,35.0,35.0,31.57894515991211,27.77777862548828,30.000001907348636,26.3157901763916,36.84210586547852,38.0952377319336,35.0,181941.125,132249.0424194336,0,404331364352,8589930496,15988449280,66023424
199,1780495081651,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,73.68421173095703,57.89473724365234,52.94117736816406,63.15789031982422,63.6363639831543,58.82353210449219,57.89473724365234,52.94117736816406,58.82353210449219,63.15789031982422,65.0,63.15789031982422,57.89473724365234,60.00000381469727,55.55555725097656,68.42105102539062,181946.56927490237,132257.65954589844,0,404331364352,8589930496,16002138112,66023424
199,1780495081851,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,65.0,60.00000381469727,66.66667175292969,63.15789031982422,55.55555725097656,57.142860412597656,60.00000381469727,63.15789031982422,57.89473724365234,57.89473724365234,70.0,60.00000381469727,52.6315803527832,60.00000381469727,57.89473724365234,57.89473724365234,181951.8807373047,132266.15649414065,0,404331364352,8589930496,16011808768,66023424
199,1780495082051,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,65.0,60.00000381469727,66.66667175292969,63.15789031982422,55.55555725097656,57.142860412597656,60.00000381469727,63.15789031982422,57.89473724365234,57.89473724365234,70.0,60.00000381469727,52.6315803527832,60.00000381469727,57.89473724365234,57.89473724365234,181957.2872314453,132274.5050048828,0,404331364352,8589930496,16020639744,66023424
199,1780495082251,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,63.15789031982422,61.11111068725586,62.16216278076172,75.0,55.55555725097656,59.4594612121582,56.75675964355469,64.86486053466797,57.89473724365234,60.52631759643555,58.97436141967773,56.41025924682617,55.55555725097656,57.89473724365234,60.52631759643555,74.35897827148438,181962.7315673828,132283.12762451172,0,404331364352,8589930496,16010424320,66023424
199,1780495082451,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,35.0,33.333335876464844,45.0,42.105262756347656,35.0,35.29411697387695,36.84210586547852,47.36842346191406,35.0,75.0,27.77777862548828,31.57894515991211,33.333335876464844,27.77777862548828,33.333335876464844,31.57894515991211,181967.7047119141,132290.60290527344,0,404331364352,8589930496,16002772992,66023424
200,1780495082651,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,38.88888931274414,42.105262756347656,50.0,33.333335876464844,42.105262756347656,40.0,47.36842346191406,36.84210586547852,36.84210586547852,36.84210586547852,40.0,40.0,38.88888931274414,38.88888931274414,42.105262756347656,35.29411697387695,181972.7586669922,132298.09338378906,0,404331364352,8589930496,16005312512,66023424
199,1780495082851,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,45.0,44.4444465637207,47.619049072265625,47.36842346191406,44.4444465637207,68.42105102539062,52.6315803527832,50.0,44.4444465637207,47.36842346191406,42.105262756347656,42.105262756347656,45.0,47.619049072265625,55.0,47.619049072265625,181977.80596923828,132305.79119873047,0,404331364352,8589930496,15991197696,66023424
199,1780495083051,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,55.55555725097656,55.0,57.89473724365234,55.55555725097656,60.00000381469727,100.0,63.15789031982422,55.55555725097656,52.6315803527832,50.0,52.94117736816406,55.55555725097656,55.0,60.00000381469727,55.55555725097656,58.82353210449219,181983.14111328125,132314.07458496094,0,404331364352,8589930496,15983288320,66023424
199,1780495083252,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,63.15789031982422,57.89473724365234,65.0,60.00000381469727,84.21052551269531,68.42105102539062,57.89473724365234,63.15789031982422,57.89473724365234,61.904762268066406,60.00000381469727,57.89473724365234,55.55555725097656,52.94117736816406,60.00000381469727,60.00000381469727,181988.49798583984,132322.4829711914,0,404331364352,8589930496,15994847232,66023424
200,1780495083452,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,68.42105102539062,70.0,64.70588684082031,58.82353210449219,65.0,90.47618865966795,70.0,72.22222137451172,63.15789031982422,57.89473724365234,52.6315803527832,61.11111068725586,65.0,65.0,72.22222137451172,70.0,181993.9892578125,132331.09552001953,0,404331364352,8589930496,16020258816,66023424
199,1780495083652,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,42.105262756347656,33.333335876464844,42.105262756347656,42.85714340209961,45.0,38.88888931274414,47.36842346191406,42.85714340209961,40.0,36.84210586547852,38.88888931274414,40.0,27.77777862548828,36.84210586547852,45.0,42.105262756347656,181999.0859375,132338.591796875,0,404331364352,8589930496,16017297408,66023424
199,1780495083852,1300,800,800,1100,818,887,812,800,1359,1900,802,1018,861,1192,2100,3200,47.36842346191406,42.105262756347656,47.36842346191406,47.36842346191406,42.105262756347656,50.0,50.0,47.36842346191406,42.105262756347656,41.17647171020508,47.36842346191406,44.4444465637207,45.0,45.0,47.36842346191406,89.47368621826172,182004.30755615237,132346.30474853516,0,404331364352,8589930496,16024649728,66023424
