Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1777747296021,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,95.23809814453124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.47368621826172,100.0,100.0,100.0,100.0,100.0,100.0,250687.56481933597,87801.03491210938,0,404331384832,8589930496,65441959936,0
199,1777747296221,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,100.0,100.0,95.23809814453124,89.47368621826172,95.0,95.0,100.0,95.0,95.0,100.0,94.73684692382812,90.0,100.0,80.95238494873047,89.47368621826172,95.0,250692.99536132812,87810.7368774414,0,404331384832,8589930496,65441435648,0
200,1777747296421,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,57.89473724365234,72.7272720336914,63.15789031982422,70.0,75.0,70.0,73.68421173095703,65.0,73.68421173095703,68.42105102539062,63.15789031982422,57.89473724365234,63.15789031982422,94.73684692382812,61.904762268066406,73.68421173095703,250698.35455322263,87819.5419921875,0,404331384832,8589930496,65443495936,0
199,1777747296622,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,89.47368621826172,66.66667175292969,75.0,80.0,73.68421173095703,90.47618865966795,76.19047546386719,80.0,76.19047546386719,68.42105102539062,75.0,63.15789031982422,61.11111068725586,75.0,73.68421173095703,80.0,250703.83520507812,87828.57220458984,0,404331384832,8589930496,65442570240,0
199,1777747296822,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,75.0,73.68421173095703,73.68421173095703,73.68421173095703,85.71428680419922,84.21052551269531,84.21052551269531,78.94737243652344,89.47368621826172,80.0,73.68421173095703,89.47368621826172,80.95238494873047,65.0,70.0,75.0,250709.23907470703,87837.8198852539,0,404331384832,8589930496,65442471936,0
199,1777747297022,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,89.47368621826172,90.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,90.47618865966795,100.0,90.47618865966795,94.73684692382812,94.44444274902344,100.0,100.0,250714.6781616211,87847.43524169922,0,404331384832,8589930496,65449082880,0
199,1777747297222,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,78.94737243652344,78.94737243652344,77.77777862548828,75.0,68.42105102539062,70.0,73.68421173095703,80.95238494873047,78.94737243652344,88.23529815673828,85.71428680419922,70.0,90.0,80.0,78.94737243652344,73.68421173095703,250720.25885009769,87856.92541503906,0,404331384832,8589930496,65447342080,0
200,1777747297422,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,90.47618865966795,84.21052551269531,95.0,90.0,90.0,89.47368621826172,95.0,94.73684692382812,85.0,90.0,100.0,78.94737243652344,95.0,95.0,90.90909576416016,95.0,250725.69818115237,87866.42120361328,0,404331384832,8589930496,65448759296,0
199,1777747297622,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,100.0,86.36363983154297,90.90909576416016,85.0,86.36363983154297,90.47618865966795,90.47618865966795,95.0,90.0,90.47618865966795,80.95238494873047,84.21052551269531,78.94737243652344,85.0,94.44444274902344,95.0,250731.0375366211,87875.83416748047,0,404331384832,8589930496,65457324032,0
199,1777747297822,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,83.33332824707031,94.73684692382812,89.47368621826172,90.0,84.21052551269531,90.0,89.47368621826172,78.94737243652344,80.95238494873047,85.0,77.77777862548828,70.0,80.0,90.0,85.71428680419922,85.0,250736.6001586914,87885.2172241211,0,404331384832,8589930496,65464553472,0
199,1777747298022,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,83.33332824707031,94.73684692382812,89.47368621826172,90.0,84.21052551269531,90.0,89.47368621826172,78.94737243652344,80.95238494873047,85.0,77.77777862548828,70.0,80.0,90.0,85.71428680419922,85.0,250742.0831298828,87894.83642578125,0,404331384832,8589930496,65473388544,0
199,1777747298222,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,90.243896484375,92.30769348144533,94.87179565429688,89.47368621826172,87.17948913574219,92.30769348144533,92.30769348144533,95.1219482421875,97.43589782714844,92.30769348144533,92.68292999267578,89.74359130859375,92.10526275634766,92.30769348144533,95.0,80.0,250747.50030517575,87904.68200683594,0,404331384832,8589930496,65482559488,0
199,1777747298423,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,68.42105102539062,85.0,68.42105102539062,81.81818389892578,77.77777862548828,65.0,66.66667175292969,77.77777862548828,75.0,80.0,73.68421173095703,80.95238494873047,75.0,73.68421173095703,63.15789031982422,66.66667175292969,250752.8666381836,87913.99938964844,0,404331384832,8589930496,65490104320,0
200,1777747298623,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,89.47368621826172,90.47618865966795,90.0,94.44444274902344,90.47618865966795,95.0,94.73684692382812,95.23809814453124,95.0,95.0,100.0,94.44444274902344,94.73684692382812,95.0,94.73684692382812,90.47618865966795,250758.47387695315,87923.82080078125,0,404331384832,8589930496,65499320320,0
199,1777747298823,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44444274902344,85.0,95.0,95.0,100.0,100.0,95.0,250764.17889404297,87933.6898803711,0,404331384832,8589930496,65503289344,0
199,1777747299023,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,94.73684692382812,95.0,95.23809814453124,95.0,95.0,94.73684692382812,94.73684692382812,95.0,90.47618865966795,85.0,89.47368621826172,100.0,100.0,90.0,90.47618865966795,89.47368621826172,250769.6744995117,87943.41857910156,0,404331384832,8589930496,65509695488,0
199,1777747299223,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,100.0,85.71428680419922,88.8888931274414,94.73684692382812,85.0,90.0,95.23809814453124,85.0,94.73684692382812,80.95238494873047,75.0,89.47368621826172,80.0,85.0,90.0,76.19047546386719,250775.1276245117,87952.91046142578,0,404331384832,8589930496,65518092288,0
199,1777747299424,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,85.71428680419922,66.66667175292969,90.0,95.0,95.0,84.21052551269531,95.0,83.33332824707031,80.0,88.8888931274414,78.94737243652344,70.0,85.0,80.0,95.23809814453124,94.44444274902344,250780.76538085935,87962.32049560547,0,404331384832,8589930496,65526452224,0
199,1777747299624,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,75.0,65.0,85.0,75.0,80.0,80.0,84.21052551269531,80.0,73.68421173095703,90.90909576416016,70.0,61.11111068725586,61.11111068725586,85.0,83.33332824707031,80.95238494873047,250786.24200439453,87971.37316894531,0,404331384832,8589930496,65534328832,0
199,1777747299824,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,95.0,100.0,100.0,100.0,100.0,100.0,95.4545440673828,94.73684692382812,95.23809814453124,100.0,100.0,95.0,95.0,89.47368621826172,100.0,100.0,250791.91046142575,87981.30407714844,0,404331384832,8589930496,65539457024,0
199,1777747300024,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,95.23809814453124,89.47368621826172,100.0,100.0,100.0,100.0,100.0,100.0,73.68421173095703,95.23809814453124,95.0,90.0,80.0,90.47618865966795,90.47618865966795,100.0,250797.63305664065,87990.98474121094,0,404331384832,8589930496,65547431936,0
199,1777747300224,1671,999,1002,928,1132,1185,1100,1141,1329,800,1258,1100,1100,800,2100,1000,89.47368621826172,95.0,90.0,90.0,95.0,100.0,100.0,100.0,68.42105102539062,84.21052551269531,85.0,78.94737243652344,85.0,83.33332824707031,100.0,100.0,250803.00994873047,88000.34301757812,0,404331384832,8589930496,65557090304,0
