Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1777917074121,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,47.36842346191406,44.4444465637207,55.0,42.105262756347656,47.619049072265625,47.36842346191406,57.89473724365234,52.38095474243164,50.0,45.0,50.0,50.0,50.0,45.0,50.0,70.0,246459.708984375,255841.24340820315,0,404331384832,8589930496,33817436160,0
199,1777917074321,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,57.89473724365234,60.00000381469727,61.11111068725586,57.89473724365234,65.0,60.00000381469727,61.904762268066406,55.55555725097656,61.904762268066406,60.00000381469727,57.89473724365234,50.0,57.89473724365234,57.89473724365234,80.0,55.55555725097656,246463.66772460935,255848.8748779297,0,404331384832,8589930496,33818034176,0
199,1777917074522,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,57.89473724365234,57.89473724365234,57.89473724365234,57.142860412597656,57.89473724365234,70.0,55.55555725097656,61.904762268066406,57.89473724365234,60.00000381469727,63.15789031982422,55.0,60.00000381469727,60.00000381469727,80.0,60.00000381469727,246467.66772460935,255856.72686767575,0,404331384832,8589930496,33818423296,0
199,1777917074722,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,72.7272720336914,57.89473724365234,52.6315803527832,50.0,78.94737243652344,57.89473724365234,65.0,57.89473724365234,57.89473724365234,52.94117736816406,57.89473724365234,55.0,61.11111068725586,55.0,63.15789031982422,50.0,246472.10614013672,255864.65838623047,0,404331384832,8589930496,33819176960,0
199,1777917074922,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,55.0,55.55555725097656,57.89473724365234,61.904762268066406,80.0,44.4444465637207,55.55555725097656,60.00000381469727,50.0,57.142860412597656,55.0,52.94117736816406,55.0,55.0,50.0,57.89473724365234,246476.3507080078,255872.3846435547,0,404331384832,8589930496,33819652096,0
200,1777917075122,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,52.94117736816406,52.38095474243164,52.6315803527832,50.0,50.0,60.00000381469727,57.142860412597656,50.0,52.6315803527832,52.6315803527832,52.6315803527832,57.142860412597656,57.142860412597656,52.6315803527832,55.0,65.0,246480.17071533203,255879.8717041016,0,404331384832,8589930496,33820864512,0
199,1777917075322,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,50.0,57.142860412597656,55.0,52.6315803527832,65.0,44.4444465637207,47.36842346191406,45.0,52.38095474243164,44.4444465637207,57.142860412597656,47.36842346191406,44.4444465637207,50.0,42.105262756347656,50.0,246483.94665527344,255887.23278808597,0,404331384832,8589930496,33821192192,0
199,1777917075522,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,50.0,57.142860412597656,55.0,52.6315803527832,65.0,44.4444465637207,47.36842346191406,45.0,52.38095474243164,44.4444465637207,57.142860412597656,47.36842346191406,44.4444465637207,50.0,42.105262756347656,50.0,246487.88861083984,255894.61584472656,0,404331384832,8589930496,33824763904,0
199,1777917075722,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,60.00000381469727,57.89473724365234,55.0,56.75675964355469,57.89473724365234,67.5,58.97436141967773,58.97436141967773,58.97436141967773,52.6315803527832,56.41025924682617,55.26315689086914,55.0,52.6315803527832,65.78947448730469,71.79487609863281,246492.1723022461,255902.5703125,0,404331384832,8589930496,33831038976,0
199,1777917075922,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,61.11111068725586,50.0,50.0,52.6315803527832,47.36842346191406,50.0,52.38095474243164,65.0,47.36842346191406,50.0,55.0,50.0,50.0,57.89473724365234,55.0,47.36842346191406,246496.2017211914,255910.20666503903,0,404331384832,8589930496,33836978176,0
200,1777917076122,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,65.0,55.55555725097656,70.0,60.00000381469727,63.15789031982422,70.0,58.82353210449219,95.0,57.89473724365234,60.00000381469727,55.55555725097656,63.15789031982422,57.142860412597656,65.0,55.55555725097656,63.15789031982422,246500.7026977539,255918.35137939453,0,404331384832,8589930496,33846857728,0
199,1777917076322,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,68.42105102539062,63.15789031982422,70.0,63.15789031982422,70.0,72.22222137451172,70.0,71.42857360839844,73.68421173095703,63.15789031982422,70.0,57.89473724365234,63.15789031982422,57.89473724365234,60.00000381469727,76.19047546386719,246505.38458251956,255926.5499267578,0,404331384832,8589930496,33851396096,0
199,1777917076522,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,68.42105102539062,63.15789031982422,70.0,63.15789031982422,70.0,72.22222137451172,70.0,71.42857360839844,73.68421173095703,63.15789031982422,70.0,57.89473724365234,63.15789031982422,57.89473724365234,60.00000381469727,76.19047546386719,246508.94805908203,255933.50067138672,0,404331384832,8589930496,33855410176,0
199,1777917076722,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,47.36842346191406,48.64865112304688,52.6315803527832,61.5384635925293,52.6315803527832,55.0,56.41025924682617,78.94737243652344,50.0,52.499996185302734,48.71794891357422,51.28205490112305,50.0,51.28205490112305,47.36842346191406,52.6315803527832,246513.36798095703,255941.5692138672,0,404331384832,8589930496,33862553600,0
199,1777917076923,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,47.36842346191406,45.45454788208008,84.21052551269531,50.0,55.0,50.0,57.142860412597656,52.38095474243164,44.4444465637207,45.0,47.36842346191406,47.36842346191406,45.0,42.105262756347656,55.55555725097656,52.6315803527832,246517.1957397461,255948.8519287109,0,404331384832,8589930496,33867333632,0
200,1777917077123,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,40.0,36.84210586547852,45.0,47.36842346191406,61.904762268066406,52.6315803527832,42.105262756347656,57.89473724365234,36.84210586547852,33.333335876464844,31.57894515991211,36.84210586547852,33.333335876464844,38.88888931274414,61.904762268066406,45.0,246520.6978149414,255955.7271728516,0,404331384832,8589930496,33872744448,0
199,1777917077323,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,40.0,36.84210586547852,45.0,47.36842346191406,61.904762268066406,52.6315803527832,42.105262756347656,57.89473724365234,36.84210586547852,33.333335876464844,31.57894515991211,36.84210586547852,33.333335876464844,38.88888931274414,61.904762268066406,45.0,246525.26135253903,255963.91040039065,0,404331384832,8589930496,33881440256,0
199,1777917077523,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,58.97436141967773,56.75675964355469,63.15789031982422,66.66667175292969,76.92308044433594,58.97436141967773,60.52631759643555,57.89473724365234,57.89473724365234,58.97436141967773,61.5384635925293,58.97436141967773,56.41025924682617,56.41025924682617,60.00000381469727,57.89473724365234,246529.19732666016,255971.4006958008,0,404331384832,8589930496,33886449664,0
200,1777917077723,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,63.15789031982422,65.0,61.11111068725586,100.0,50.0,52.6315803527832,55.55555725097656,60.00000381469727,57.142860412597656,57.89473724365234,60.00000381469727,60.00000381469727,61.11111068725586,57.89473724365234,61.11111068725586,55.55555725097656,246533.5595703125,255979.3154296875,0,404331384832,8589930496,33894838272,0
199,1777917077923,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,55.0,52.6315803527832,52.6315803527832,80.0,57.89473724365234,44.4444465637207,50.0,47.36842346191406,47.05882263183594,55.55555725097656,60.00000381469727,63.15789031982422,57.89473724365234,60.00000381469727,55.0,57.142860412597656,246537.7671508789,255987.24322509769,0,404331384832,8589930496,33900093440,0
199,1777917078123,845,973,800,800,2100,800,800,800,1680,879,812,800,800,800,801,800,47.36842346191406,47.36842346191406,45.0,63.15789031982422,52.38095474243164,55.55555725097656,50.0,47.36842346191406,45.0,50.0,45.0,42.105262756347656,42.105262756347656,44.4444465637207,42.105262756347656,41.17647171020508,246541.4945678711,255994.5023803711,0,404331384832,8589930496,33906176000,0
