Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,220.0,245.96823185175137,145.25610000055167,922.4295999993046,239.0,0.20266321553447147,0.0,220,240,270,280,330,370,480,920,920,920,920
GET,01_Admin_Order,838,0,170.0,214.8917694510879,54.664000002958346,1021.5062999996007,1235062.2780429595,1.2580131453176822,0.0,170,190,210,230,480,620,730,770,1000,1000,1000
POST,01_Query_Routes,5410,0,590.0,626.2066355083084,154.3697000015527,4963.449299997592,327.0,8.121540711418449,0.0,590,760,850,910,1100,1200,1400,1500,3000,5000,5000
PUT,02_Admin_Update_Order,837,0,67,69.67264014340515,24.403600000368897,282.92750000036904,485.9235364396655,1.2565119363137232,0.0,67,81,85,94,100,120,130,130,280,280,280
GET,02_Select_Contact,5403,0,60,63.45522487509327,17.709800002194243,469.6009999970556,459.0,8.111032248390735,0.0,60,70,82,84,99,110,130,150,220,470,470
GET,03_Admin_Route,837,0,65,66.70880238947262,23.51030000136234,472.62449999834644,1793.0,1.2565119363137232,0.0,65,76,82,87,99,110,130,150,470,470,470
GET,03_Visit_Booking_Page,5392,0,53,57.413844992558424,14.15389999965555,187.54360000093584,37992.0,8.094518949347187,0.0,53,66,74,81,96,110,120,130,150,190,190
POST,04_Admin_Update_Route,834,0,67,71.97928129495503,25.824800002737902,163.61599999800092,235.0,1.252008309301846,0.0,67,82,89,97,110,120,130,150,160,160,160
POST,04_Confirm_Booking,5310,6,1200.0,4071.1991607721247,264.5202000021527,60088.94220000002,46.161581920903956,7.971419811022545,0.009007254023754288,1200,2400,4200,5700,12000,19000,28000,34000,60000,60000,60000
GET,05_Admin_Route,833,0,130.0,142.9219102041248,68.26850000288687,1182.3853000023519,5482.0228091236495,1.250507100297887,0.0,130,150,160,160,190,230,320,410,1200,1200,1200
POST,05_Fetch_Unpaid_Orders,5301,0,82,84.65527498584262,27.207999999518506,264.98759999958565,8311.800226372383,7.957908929986913,0.0,82,96,99,110,130,140,150,160,230,260,260
PUT,06_Admin_Update_Travel,826,0,67,70.82982506050101,24.824700001772726,282.65969999847584,272.0,1.2399986372701737,0.0,67,80,84,93,110,120,140,150,280,280,280
POST,06_Pay_Order,5292,6,120.0,124.01733758501508,40.394299998297356,1222.5245000008726,60.622260015117156,7.944398048951282,0.009007254023754288,120,130,150,150,180,190,220,250,680,1200,1200
GET,07_Admin_Get_User,824,0,66,69.40955266993592,25.67529999942053,208.40490000045975,25441.51213592233,1.2369962192622554,0.0,66,79,83,88,100,120,140,150,210,210,210
GET,07_Collect_Ticket,5289,6,72,76.64063040269882,21.48450000095181,682.024800000363,40.117980714690866,7.939894421939405,0.009007254023754288,72,83,96,98,110,130,150,160,480,680,680
POST,0AA_LoginAdmin,135,0,210.0,220.8509437037315,135.41609999811044,604.091300003347,341.0,0.20266321553447147,0.0,210,230,240,250,290,310,410,600,600,600,600
POST,0A_Login,135,0,200.0,205.04125481467648,115.28270000053453,472.02889999971376,370.0,0.20266321553447147,0.0,200,220,230,240,270,330,370,400,470,470,470
,Aggregated,43631,18,96,638.2708266691046,14.15389999965555,60088.94220000002,30182.89220966744,65.49925005173722,0.027021762071262865,96,130,220,370,880,1700,7300,14000,36000,60000,60000
