Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1779811440583,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,76.92308044433594,71.79487609863281,73.68421173095703,72.5,89.74359130859375,71.79487609863281,71.79487609863281,73.68421173095703,90.0,74.35897827148438,71.05262756347656,71.05262756347656,87.5,72.97296905517578,71.05262756347656,76.31578826904297,67591.39416503906,199129.6123046875,0,404331364352,8589930496,35345174528,21667840
199,1779811440783,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,63.15789031982422,66.66667175292969,60.00000381469727,52.6315803527832,50.0,52.6315803527832,57.89473724365234,60.00000381469727,100.0,44.4444465637207,47.36842346191406,52.38095474243164,63.15789031982422,70.0,55.55555725097656,57.89473724365234,67597.0966796875,199138.29974365237,0,404331364352,8589930496,35350315008,21667840
199,1779811440983,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,63.15789031982422,66.66667175292969,60.00000381469727,52.6315803527832,50.0,52.6315803527832,57.89473724365234,60.00000381469727,100.0,44.4444465637207,47.36842346191406,52.38095474243164,63.15789031982422,70.0,55.55555725097656,57.89473724365234,67603.41180419922,199147.55535888672,0,404331364352,8589930496,35344863232,21667840
199,1779811441183,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,71.05262756347656,64.10256958007812,73.68421173095703,76.31578826904297,77.5,63.15789031982422,65.78947448730469,69.23077392578125,81.57894897460938,64.10256958007812,60.52631759643555,55.55555725097656,63.15789031982422,74.35897827148438,69.23077392578125,73.68421173095703,67609.68200683594,199156.4083251953,0,404331364352,8589930496,35338706944,21667840
199,1779811441383,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,42.105262756347656,25.0,42.105262756347656,47.36842346191406,47.36842346191406,44.4444465637207,35.0,40.0,40.0,38.88888931274414,47.619049072265625,31.57894515991211,45.0,36.84210586547852,55.0,33.333335876464844,67615.16284179688,199163.9691772461,0,404331364352,8589930496,35339272192,21667840
199,1779811441583,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,89.47368621826172,90.47618865966795,84.21052551269531,84.21052551269531,89.47368621826172,85.71428680419922,89.47368621826172,84.21052551269531,89.47368621826172,90.0,84.21052551269531,84.21052551269531,88.8888931274414,90.0,89.47368621826172,84.21052551269531,67621.94451904297,199174.3729248047,0,404331364352,8589930496,35340505088,21667840
200,1779811441783,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,72.22222137451172,78.94737243652344,75.0,76.19047546386719,80.95238494873047,84.21052551269531,75.0,76.19047546386719,72.22222137451172,85.0,73.68421173095703,70.0,73.68421173095703,80.0,72.22222137451172,73.68421173095703,67628.23547363281,199183.79119873047,0,404331364352,8589930496,35343347712,21667840
199,1779811441983,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,85.0,75.0,66.66667175292969,94.73684692382812,85.0,57.89473724365234,66.66667175292969,61.11111068725586,65.0,75.0,73.68421173095703,61.11111068725586,71.42857360839844,68.42105102539062,70.0,80.0,67634.37103271484,199193.00189208984,0,404331364352,8589930496,35332861952,21667840
199,1779811442183,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,57.89473724365234,55.55555725097656,50.0,52.6315803527832,84.21052551269531,42.85714340209961,52.38095474243164,55.0,44.4444465637207,52.6315803527832,44.4444465637207,57.89473724365234,50.0,41.17647171020508,61.904762268066406,100.0,67639.99462890625,199201.3143310547,0,404331364352,8589930496,35337633792,21667840
199,1779811442383,950,1146,2100,880,1027,1000,900,885,819,800,1137,899,799,1099,810,807,57.89473724365234,55.55555725097656,50.0,52.6315803527832,84.21052551269531,42.85714340209961,52.38095474243164,55.0,44.4444465637207,52.6315803527832,44.4444465637207,57.89473724365234,50.0,41.17647171020508,61.904762268066406,100.0,67645.732421875,199209.9819946289,0,404331364352,8589930496,35362799616,21667840
