Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,230.0,269.8080266668209,140.25829999991402,1051.9784999996773,239.0,0.2238759978987001,0.0,230,260,290,330,410,470,700,1100,1100,1100,1100
GET,01_Admin_Order,758,0,160.0,205.43230105543628,50.24469999989378,1018.1068000001687,1154057.9419525065,1.2570222696830717,0.0,160,180,200,230,450,580,660,760,1000,1000,1000
POST,01_Query_Routes,5161,0,530.0,579.6220632435426,170.37180000079388,4602.376000000731,327.0,8.558696482631046,0.0,530,700,780,830,980,1100,1300,1500,2800,4600,4600
PUT,02_Admin_Update_Order,756,0,67,73.24748029106568,26.385099999970407,255.64750000012282,485.9007936507937,1.2537055882327206,0.0,68,81,93,96,110,130,150,160,260,260,260
GET,02_Select_Contact,5155,0,60,63.3443468089374,16.772700000728946,312.35000000015134,459.0,8.548746438279993,0.0,60,71,80,84,98,110,130,140,190,310,310
GET,03_Admin_Route,755,0,63,66.82269072848642,21.42679999997199,477.08050000073854,1793.0,1.252047247507545,0.0,63,77,82,89,110,120,140,170,480,480,480
GET,03_Visit_Booking_Page,5145,0,54,57.24572365404021,15.778899998622364,189.0516999992542,37992.0,8.532163031028237,0.0,54,65,74,79,94,110,120,130,160,190,190
POST,04_Admin_Update_Route,752,0,67,71.23341103724525,25.320700000520446,215.19700000135344,235.0,1.2470722253320183,0.0,67,80,91,95,110,120,140,160,220,220,220
POST,04_Confirm_Booking,5068,1,1100.0,3233.536054558019,276.76439999959257,60036.603399999876,46.02821625887924,8.404470795189718,0.0016583407251755562,1100,2200,3400,4500,8800,14000,21000,26000,53000,60000,60000
GET,05_Admin_Route,749,0,140.0,156.3060317757153,81.29399999961606,1456.2357000013435,5482.025367156209,1.2420972031564916,0.0,140,150,170,180,210,290,390,510,1500,1500,1500
POST,05_Fetch_Unpaid_Orders,5059,0,81,85.21481041706765,26.5756999997393,270.1900000010937,7943.9812215852935,8.389545728663139,0.0,81,95,100,110,120,140,150,160,220,270,270
PUT,06_Admin_Update_Travel,748,0,67,72.90902499992622,24.115799998980947,891.1728999992192,272.0,1.240438862431316,0.0,67,80,90,95,110,130,150,160,890,890,890
POST,06_Pay_Order,5049,0,120.0,125.86705383244234,45.23150000022724,1217.8719000003184,60.0,8.372962321411384,0.0,120,130,140,150,180,200,230,280,980,1200,1200
GET,07_Admin_Get_User,745,0,66,70.60285892617416,26.654100000087055,205.50829999956477,25398.926174496642,1.2354638402557894,0.0,66,80,86,94,110,120,140,150,210,210,210
GET,07_Collect_Ticket,5040,0,73,76.92434121032774,22.447399998782203,708.485600000131,40.0,8.358037254884804,0.0,73,84,94,97,110,130,150,170,590,710,710
POST,0AA_LoginAdmin,135,0,210.0,234.2585466666437,137.76190000135102,559.4629000006535,341.0,0.2238759978987001,0.0,210,250,270,290,330,380,500,560,560,560,560
POST,0A_Login,135,0,210.0,215.88258962956726,119.57329999859212,483.9690000007977,370.0,0.2238759978987001,0.0,210,240,260,270,310,330,410,430,480,480,480
,Aggregated,41345,1,95,534.3058551360527,15.778899998622364,60036.603399999876,27584.537017777242,68.56409728238337,0.0016583407251755562,95,130,230,370,810,1600,5600,10000,27000,54000,60000
