Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,220.0,242.39578370368824,148.0893000002652,1008.0097000000023,239.0,0.15111883843715668,0.0,220,240,250,260,300,340,500,990,1000,1000,1000
GET,01_Admin_Order,1130,0,260.0,328.5710426548621,48.1672000000799,1834.6834000003582,1542597.5017699115,1.2649206476591632,0.0,260,340,420,480,690,840,1000,1200,1700,1800,1800
POST,01_Query_Routes,6555,0,680.0,724.9209117009887,141.95840000002136,4538.725299999896,327.0,7.337659155226385,0.0,680,880,1000,1100,1300,1400,1600,1900,2800,4500,4500
PUT,02_Admin_Update_Order,1128,0,69,79.05997916667303,24.985000000015134,1134.0602000000217,485.9086879432624,1.2626818500526868,0.0,69,82,95,98,120,150,200,280,510,1100,1100
GET,02_Select_Contact,6545,0,62,69.07419610389336,18.065000000206055,538.6269999999058,459.0,7.326465167194003,0.0,62,77,82,93,110,140,190,240,380,540,540
GET,03_Admin_Route,1126,0,64,74.64624662523028,21.964000000025408,624.626299999818,1793.0,1.2604430524462105,0.0,64,79,90,96,120,160,230,280,610,620,620
GET,03_Visit_Booking_Page,6534,0,54,63.56338792470394,14.62149999997564,460.6398999999328,37992.0,7.314151780358383,0.0,54,67,80,83,110,130,190,230,400,460,460
POST,04_Admin_Update_Route,1122,0,70,81.22526729055456,25.41560000008758,383.7806999999884,235.0,1.2559654572332577,0.0,70,86,96,100,130,160,230,260,370,380,380
POST,04_Confirm_Booking,6445,31,1700.0,5951.190034848721,266.3511999999173,60229.79959999975,46.6878200155159,7.214525286870183,0.03470136290038412,1700,4300,7100,9200,17000,26000,39000,50000,60000,60000,60000
GET,05_Admin_Route,1122,0,130.0,148.61967905526149,72.56849999976112,1651.1363999998139,5482.033868092692,1.2559654572332577,0.0,130,150,160,170,210,270,360,410,580,1700,1700
POST,05_Fetch_Unpaid_Orders,6439,0,82,93.33007796241515,28.451900000163732,631.11280000021,10035.056841124398,7.207808894050754,0.0,82,97,110,110,140,170,230,270,490,630,630
PUT,06_Admin_Update_Travel,1120,0,72,79.34745107143124,23.63149999973757,489.70920000010665,272.0,1.2537266596267813,0.0,73,84,97,100,130,150,190,220,450,490,490
POST,06_Pay_Order,6435,25,130.0,137.70909992229755,45.342100000198116,1174.586200000249,62.132245532245534,7.203331298837801,0.02798497008095494,130,140,160,170,200,250,330,410,650,1200,1200
GET,07_Admin_Get_User,1118,0,66,77.309924865831,23.80059999995865,560.1050000000214,25570.109123434704,1.251487862020305,0.0,66,81,93,97,120,160,220,270,450,560,560
GET,07_Collect_Ticket,6428,25,75,82.23472504667025,23.55440000019371,574.2415000004257,40.404480398257625,7.195495507215134,0.02798497008095494,75,88,97,110,130,160,220,270,460,570,570
POST,0AA_LoginAdmin,135,0,210.0,220.2841037036975,129.13369999978386,690.7194999998865,341.0,0.15111883843715668,0.0,210,230,240,250,280,300,320,690,690,690,690
POST,0A_Login,135,0,190.0,209.96849851851073,124.2168999997375,840.6732999997075,370.0,0.15111883843715668,0.0,190,210,230,250,290,330,490,520,840,840,840
,Aggregated,53652,81,97,877.1139416070223,14.62149999997564,60229.79959999975,39143.005423842544,60.057984591335774,0.090671303062294,97,150,270,410,1100,2700,11000,19000,54000,60000,60000
