Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1779906226582,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,35.0,38.0952377319336,35.0,26.3157901763916,26.3157901763916,31.57894515991211,47.36842346191406,38.0952377319336,21.052631378173828,47.36842346191406,30.000001907348636,45.0,100.0,21.052631378173828,21.052631378173828,35.0,126926.38934326172,77650.20520019531,0,404331982848,8589930496,31999168512,0
199,1779906226782,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,33.333335876464844,33.333335876464844,31.57894515991211,35.0,47.619049072265625,60.00000381469727,50.0,33.333335876464844,26.3157901763916,35.0,26.3157901763916,15.789472579956056,100.0,47.619049072265625,42.105262756347656,42.105262756347656,126929.85571289064,77657.28698730469,0,404331982848,8589930496,31992320000,0
199,1779906226982,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,35.0,26.3157901763916,89.47368621826172,31.57894515991211,31.57894515991211,55.0,33.333335876464844,31.57894515991211,35.0,30.000001907348636,40.0,30.000001907348636,100.0,35.0,36.84210586547852,27.77777862548828,126933.1919555664,77664.1216430664,0,404331982848,8589930496,32005234688,0
199,1779906227182,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,35.0,26.3157901763916,89.47368621826172,31.57894515991211,31.57894515991211,55.0,33.333335876464844,31.57894515991211,35.0,30.000001907348636,40.0,30.000001907348636,100.0,35.0,36.84210586547852,27.77777862548828,126937.515625,77673.16955566406,0,404331982848,8589930496,32007213056,0
199,1779906227382,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,71.79487609863281,82.5,87.5,70.27027130126953,71.05262756347656,76.31578826904297,78.04877471923828,76.92308044433594,77.5,84.61538696289062,74.35897827148438,84.21052551269531,100.0,73.68421173095703,73.68421173095703,92.5,126941.82946777344,77682.52044677734,0,404331982848,8589930496,32009854976,0
199,1779906227582,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,95.0,94.73684692382812,94.73684692382812,80.95238494873047,88.8888931274414,90.47618865966795,94.73684692382812,94.73684692382812,100.0,95.0,89.47368621826172,95.0,100.0,100.0,90.0,100.0,126946.7117919922,77692.43426513672,0,404331982848,8589930496,32028602368,0
199,1779906227782,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,95.0,94.73684692382812,94.73684692382812,80.95238494873047,88.8888931274414,90.47618865966795,94.73684692382812,94.73684692382812,100.0,95.0,89.47368621826172,95.0,100.0,100.0,90.0,100.0,126951.8851928711,77702.70910644531,0,404331982848,8589930496,32025112576,0
199,1779906227982,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,65.0,75.0,68.42105102539062,68.42105102539062,68.42105102539062,80.95238494873047,77.77777862548828,73.68421173095703,73.68421173095703,77.77777862548828,68.42105102539062,72.22222137451172,80.0,68.42105102539062,84.21052551269531,89.47368621826172,126956.39154052734,77712.61297607422,0,404331982848,8589930496,32025288704,0
199,1779906228182,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,36.84210586547852,50.0,35.0,50.0,36.84210586547852,33.333335876464844,42.85714340209961,47.619049072265625,36.84210586547852,38.88888931274414,55.0,42.105262756347656,47.36842346191406,47.36842346191406,65.0,36.84210586547852,126960.13262939452,77720.67102050781,0,404331982848,8589930496,32005484544,0
199,1779906228383,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,55.0,52.6315803527832,57.89473724365234,57.89473724365234,57.89473724365234,66.66667175292969,61.11111068725586,50.0,50.0,71.42857360839844,63.15789031982422,60.00000381469727,60.00000381469727,57.89473724365234,60.00000381469727,57.89473724365234,126964.20581054688,77729.34423828125,0,404331982848,8589930496,31990108160,0
199,1779906228583,1093,1002,799,800,2100,799,800,799,800,800,2099,1524,800,974,799,800,55.0,52.6315803527832,57.89473724365234,57.89473724365234,57.89473724365234,66.66667175292969,61.11111068725586,50.0,50.0,71.42857360839844,63.15789031982422,60.00000381469727,60.00000381469727,57.89473724365234,60.00000381469727,57.89473724365234,126968.15625,77737.81689453125,0,404331982848,8589930496,31978008576,0
