Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,230.0,251.11961555572904,152.8868000023067,1067.9760000020906,239.0,0.13609816921669352,0.0,230,250,270,280,320,400,520,1100,1100,1100,1100
GET,01_Admin_Order,1278,0,210.0,231.70614577468382,58.6503000013181,1499.0044000005582,1676933.7363067293,1.288396001918032,0.0,210,240,260,280,340,460,670,790,1100,1500,1500
POST,01_Query_Routes,7023,0,710.0,763.6164120888501,153.54370000204653,4856.283299999632,327.0,7.0801292030284335,0.0,710,910,1000,1100,1300,1500,2000,2200,3200,4900,4900
PUT,02_Admin_Update_Order,1276,0,67,72.68829710025376,22.710599998390535,214.9440000030154,485.8949843260188,1.2863797327444513,0.0,67,82,93,97,110,130,150,160,190,210,210
GET,02_Select_Contact,7019,0,61,64.22435787147278,16.60769999944023,430.9179000010772,459.0,7.076096664681272,0.0,61,72,82,86,100,120,130,150,220,430,430
GET,03_Admin_Route,1272,0,61,64.03178812891515,20.353300002170727,571.6252000020177,1793.0,1.28234719439729,0.0,61,72,82,84,99,110,130,140,210,570,570
GET,03_Visit_Booking_Page,7013,0,53,57.51981685440812,14.68620000014198,183.32780000127968,37992.0,7.070047857160531,0.0,53,66,75,82,97,110,120,130,160,180,180
POST,04_Admin_Update_Route,1269,0,67,72.92554152876686,22.795700002461672,193.23230000009062,235.0,1.2793227906369191,0.0,67,82,92,98,110,130,150,160,190,190,190
POST,04_Confirm_Booking,6926,38,1900.0,6580.7611948166505,252.2153000027174,60175.90159999963,46.78457984406584,6.982340148109772,0.03830911429803225,1900,4800,7800,10000,20000,29000,41000,52000,60000,60000,60000
GET,05_Admin_Route,1267,0,130.0,137.2765480663092,66.00690000050236,1089.1241999997874,5482.02999210734,1.2773065214633383,0.0,130,140,150,160,180,210,310,380,570,1100,1100
POST,05_Fetch_Unpaid_Orders,6922,0,83,88.26853938169475,25.537000001349952,286.2917999991623,10776.897428488875,6.978307609762611,0.0,83,98,110,110,130,140,160,160,190,290,290
PUT,06_Admin_Update_Travel,1266,0,66,71.40174778833975,24.004499999136897,210.42880000095465,272.0,1.276298386876548,0.0,66,81,89,97,110,130,150,160,200,210,210
POST,06_Pay_Order,6913,31,130.0,136.5713296832151,41.31730000153766,1250.6955999997444,62.46159409807609,6.969234398481499,0.03125217219049999,130,150,160,170,190,220,260,320,890,1300,1300
GET,07_Admin_Get_User,1265,0,65,67.60437636364254,22.522300001583062,175.9764999987965,25602.0790513834,1.2752902522897578,0.0,65,78,83,92,110,120,130,140,180,180,180
GET,07_Collect_Ticket,6904,31,73,76.77455053592962,23.574799997732043,629.1980999994848,40.46697566628042,6.960161187200385,0.03125217219049999,73,84,97,99,120,130,150,160,360,630,630
POST,0AA_LoginAdmin,135,0,200.0,219.06702518519725,129.24609999754466,646.1113000004843,341.0,0.13609816921669352,0.0,200,230,240,260,290,340,420,640,650,650,650
POST,0A_Login,135,0,200.0,203.71019851838895,112.92400000093039,389.98309999806224,370.0,0.13609816921669352,0.0,200,210,230,240,270,320,360,360,390,390,390
,Aggregated,58018,100,97,945.9866342531654,14.68620000014198,60175.90159999963,43671.17489399842,58.48995245640092,0.10081345867903224,97,140,230,390,1100,3000,13000,22000,53000,60000,60000
