Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780188273626,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,47.36842346191406,16.666667938232422,25.0,35.0,26.3157901763916,30.000001907348636,30.000001907348636,31.57894515991211,10.526315689086914,25.0,11.111111640930176,35.0,5.263157844543457,15.000000953674316,47.619049072265625,31.57894515991211,105922.23510742188,35203.23596191406,0,404331982848,8589930496,32083959808,0
199,1780188273826,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,47.36842346191406,16.666667938232422,25.0,35.0,26.3157901763916,30.000001907348636,30.000001907348636,31.57894515991211,10.526315689086914,25.0,11.111111640930176,35.0,5.263157844543457,15.000000953674316,47.619049072265625,31.57894515991211,105925.76416015624,35210.547302246094,0,404331982848,8589930496,32087683072,0
199,1780188274026,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,66.66667175292969,62.5,63.15789031982422,66.66667175292969,72.5,61.5384635925293,69.23077392578125,52.6315803527832,71.05262756347656,74.35897827148438,78.04877471923828,55.26315689086914,63.15789031982422,63.15789031982422,58.97436141967773,55.0,105929.5816040039,35219.41021728516,0,404331982848,8589930496,32094490624,0
199,1780188274226,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,71.42857360839844,80.95238494873047,68.42105102539062,70.0,68.42105102539062,52.6315803527832,77.77777862548828,50.0,66.66667175292969,71.42857360839844,61.11111068725586,57.89473724365234,70.0,75.0,52.94117736816406,47.36842346191406,105933.15173339844,35228.21923828125,0,404331982848,8589930496,32105406464,0
199,1780188274426,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,63.15789031982422,50.0,40.0,68.42105102539062,42.85714340209961,44.4444465637207,42.85714340209961,45.0,100.0,31.57894515991211,30.000001907348636,35.0,50.0,47.36842346191406,45.0,50.0,105935.8501586914,35235.781799316406,0,404331982848,8589930496,32110657536,0
199,1780188274626,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,63.15789031982422,50.0,40.0,68.42105102539062,42.85714340209961,44.4444465637207,42.85714340209961,45.0,100.0,31.57894515991211,30.000001907348636,35.0,50.0,47.36842346191406,45.0,50.0,105939.12817382812,35242.38366699219,0,404331982848,8589930496,32126390272,0
199,1780188274826,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,53.84615707397461,36.11111068725586,51.28205490112305,50.0,43.58974456787109,52.499996185302734,46.153846740722656,43.58974456787109,45.0,36.84210586547852,38.46154022216797,44.73684310913086,48.71794891357422,46.153846740722656,47.36842346191406,43.58974456787109,105942.62084960938,35249.42041015625,0,404331982848,8589930496,32180572160,0
199,1780188275026,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,53.84615707397461,36.11111068725586,51.28205490112305,50.0,43.58974456787109,52.499996185302734,46.153846740722656,43.58974456787109,45.0,36.84210586547852,38.46154022216797,44.73684310913086,48.71794891357422,46.153846740722656,47.36842346191406,43.58974456787109,105946.39276123048,35257.71368408203,0,404331982848,8589930496,32273399808,0
199,1780188275226,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,76.92308044433594,74.35897827148438,71.79487609863281,85.0,75.0,78.94737243652344,82.05128479003906,76.31578826904297,78.94737243652344,72.97296905517578,79.4871826171875,76.92308044433594,78.94737243652344,71.79487609863281,73.68421173095703,71.79487609863281,105950.4760131836,35266.90362548828,0,404331982848,8589930496,32322564096,0
199,1780188275427,799,2000,2099,800,800,2000,800,2000,1693,799,800,896,800,800,804,800,65.0,45.0,45.0,38.88888931274414,44.4444465637207,52.38095474243164,47.36842346191406,45.0,47.619049072265625,36.84210586547852,50.0,50.0,47.36842346191406,42.105262756347656,50.0,41.17647171020508,105953.24688720705,35274.45343017578,0,404331982848,8589930496,32304984064,0
