Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780489923736,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,95.0,95.23809814453124,100.0,95.0,100.0,95.0,94.73684692382812,100.0,94.44444274902344,95.0,89.47368621826172,85.0,88.8888931274414,85.71428680419922,94.73684692382812,94.73684692382812,116695.9351196289,3671.115295410156,0,404331364352,8589930496,16134406144,66023424
199,1780489923936,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,94.73684692382812,90.0,95.23809814453124,100.0,85.71428680419922,94.73684692382812,90.47618865966795,100.0,100.0,85.0,94.73684692382812,94.73684692382812,90.0,88.8888931274414,95.23809814453124,94.73684692382812,116701.56060791016,3680.816711425781,0,404331364352,8589930496,16138141696,66023424
200,1780489924136,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,94.73684692382812,100.0,100.0,100.0,100.0,100.0,100.0,116707.37902832033,3691.1986694335938,0,404331364352,8589930496,16152064000,66023424
199,1780489924336,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,95.0,100.0,94.73684692382812,90.0,89.47368621826172,95.0,95.0,90.0,95.23809814453124,100.0,95.0,95.23809814453124,100.0,100.0,95.0,95.0,116713.21014404295,3701.732543945313,0,404331364352,8589930496,16152580096,66023424
200,1780489924536,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,95.0,100.0,85.71428680419922,90.0,90.0,95.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,116719.23248291016,3712.2661743164062,0,404331364352,8589930496,16168910848,66023424
199,1780489924737,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,89.47368621826172,89.47368621826172,90.0,89.47368621826172,85.71428680419922,88.8888931274414,90.0,84.21052551269531,100.0,90.47618865966795,100.0,94.44444274902344,90.47618865966795,95.4545440673828,73.68421173095703,80.95238494873047,116725.20208740234,3722.513732910156,0,404331364352,8589930496,16176844800,66023424
200,1780489924937,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,100.0,90.0,100.0,68.42105102539062,80.0,76.19047546386719,78.94737243652344,78.94737243652344,100.0,89.47368621826172,100.0,95.4545440673828,100.0,94.73684692382812,100.0,85.0,116731.0655517578,3732.851623535156,0,404331364352,8589930496,16168267776,66023424
199,1780489925137,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,95.0,100.0,100.0,100.0,94.44444274902344,94.73684692382812,90.0,90.0,95.0,100.0,95.0,100.0,95.0,100.0,90.0,95.0,116737.21075439452,3743.141479492188,0,404331364352,8589930496,16163373056,66023424
200,1780489925337,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,95.0,94.73684692382812,100.0,90.47618865966795,89.47368621826172,80.95238494873047,77.77777862548828,78.94737243652344,100.0,100.0,100.0,95.0,94.73684692382812,95.23809814453124,80.0,78.94737243652344,116743.4224243164,3753.680358886719,0,404331364352,8589930496,16178122752,66023424
200,1780489925537,941,800,1531,800,849,833,2100,954,800,800,800,900,882,1700,900,838,100.0,89.47368621826172,100.0,73.68421173095703,68.42105102539062,72.22222137451172,78.94737243652344,88.8888931274414,85.0,90.0,89.47368621826172,94.73684692382812,90.90909576416016,90.0,72.22222137451172,83.33332824707031,116749.32550048828,3763.798950195313,0,404331364352,8589930496,16182374400,66023424
